trp_multiplayer_profile_troop_male|perfil tropa multijugador hombre
trp_kingdom_8_lady_7_pl|Serra Rambton
trp_kingdom_8_lady_8|Leane Frey
trp_kingdom_8_lady_8_pl|Leane Frey
trp_kingdom_8_lady_9|Nynaeve Horpe
trp_kingdom_8_lady_9_pl|Nynaeve Estermont
trp_kingdom_8_lady_10|Loreta Estermont
trp_kingdom_8_lady_10_pl|Loreta Estermont
trp_kingdom_8_lady_11|Morria Moreland
trp_kingdom_8_lady_11_pl|Morria Moreland
trp_kingdom_8_lady_12|Onora Chyttering
trp_kingdom_8_lady_12_pl|Onora Chyttering
trp_kingdom_8_lady_13|Norene Chyttering
trp_kingdom_8_lady_13_pl|Norene Chyttering
trp_kingdom_8_lady_14|Marya
trp_kingdom_8_lady_14_pl|Marya
trp_kingdom_8_lady_18|Reina Selyse Florent
trp_kingdom_8_lady_18_pl|Reina Selyse Florent
trp_kingdom_9_lady_1|Abby Rosby
trp_kingdom_9_lady_1_pl|Abby Rosby
trp_kingdom_9_lady_2|Abigail Rykker
trp_kingdom_9_lady_2_pl|Abigail Rykker
trp_kingdom_9_lady_3|Alyse Rosby
trp_kingdom_9_lady_3_pl|Alyse Rosby
trp_kingdom_9_lady_4|Page Crakehall
trp_kingdom_9_lady_4_pl|Page Crakehall
trp_kingdom_9_lady_5|Ellen Crakehall
trp_kingdom_9_lady_5_pl|Ellen Crakehall
trp_kingdom_9_lady_6|Aya Lefford
trp_kingdom_9_lady_6_pl|Aya Lefford
trp_kingdom_9_lady_7|Dorna Swyft
trp_kingdom_9_lady_7_pl|Dorna Swyft
trp_kingdom_9_lady_8|Rosamund Kenning
trp_kingdom_9_lady_8_pl|Rosamund Kenning
trp_kingdom_9_lady_9|Pearle Brax
trp_kingdom_9_lady_9_pl|Pearle Brax
trp_kingdom_9_lady_10|Gemma Brax
trp_kingdom_9_lady_10_pl|Gemma Brax
trp_kingdom_9_lady_11|Penny Stackspear
trp_kingdom_9_lady_11_pl|Penny Stackspear
trp_kingdom_9_lady_12|Peggy Lefford
trp_kingdom_9_lady_12_pl|Peggy Lefford
trp_kingdom_9_lady_13|Selyse Lefford
trp_kingdom_9_lady_13_pl|Selyse Lefford
trp_kingdom_9_lady_14|Morya Lefford
trp_kingdom_9_lady_14_pl|Morya Lefford
trp_kingdom_9_lady_15|Sybell Spicer
trp_kingdom_9_lady_15_pl|Sybell Spicer
trp_kingdom_9_lady_16|Meredyth Westerling
trp_kingdom_9_lady_16_pl|Meredyth Westerling
trp_kingdom_9_lady_17|Jeyne Westerling
trp_kingdom_9_lady_17_pl|Jeyne Westerling
trp_kingdom_9_lady_18|Mylenda Westerling
trp_kingdom_9_lady_18_pl|Mylenda Westerling
trp_kingdom_9_lady_19|Sybell Buckwell
trp_kingdom_9_lady_19_pl|Sybell Buckwell
trp_kingdom_9_lady_20|Tabby Kayce
trp_kingdom_9_lady_20_pl|Tabby Kayce
trp_kingdom_9_lady_21|Valary Serrett
trp_kingdom_9_lady_21_pl|Valary Serrett
trp_kingdom_9_lady_22|Lyenne Serrett
trp_kingdom_9_lady_22_pl|Lyenne Serrett
trp_kingdom_9_lady_23|Joy Buckwell
trp_kingdom_9_lady_23_pl|Joy Buckwell
trp_kingdom_9_lady_24|Aelenne Plumm
trp_kingdom_9_lady_24_pl|Aelenne Plumm
trp_kingdom_9_lady_25|Elayne Plumm
trp_kingdom_9_lady_25_pl|Elayne Plumm
trp_kingdom_9_lady_26|Elinor Plumm
trp_kingdom_9_lady_26_pl|Elinor Plumm
trp_kingdom_9_lady_27|Leonette Plumm
trp_kingdom_9_lady_27_pl|Leonette Plumm
trp_kingdom_9_lady_28|Jorelle Farman
trp_kingdom_9_lady_28_pl|Jorelle Farman
trp_kingdom_9_lady_29|Jyanna Stackspear
trp_kingdom_9_lady_29_pl|Jyanna Stackspear
trp_kingdom_9_lady_30|Fenella Stackspear
trp_kingdom_9_lady_30_pl|Fenella Stackspear
trp_kingdom_9_lady_31|Elayne Westerling
trp_kingdom_9_lady_31_pl|Elayne Westerling
trp_kingdom_9_lady_32|Alayne Ruttiger
trp_kingdom_9_lady_32_pl|Alayne Ruttiger
trp_kingdom_9_lady_33|Mya Ruttiger
trp_kingdom_9_lady_33_pl|Mya Ruttiger
trp_kingdom_9_lady_34|Jeyne Jast
trp_kingdom_9_lady_34_pl|Jeyne Jast
trp_kingdom_9_lady_35|Mayris Greenfield
trp_kingdom_9_lady_35_pl|Mayris Greenfield
trp_kingdom_9_lady_36|Norene Greenfield
trp_kingdom_9_lady_36_pl|Norene Greenfield
trp_kingdom_10_lady_1|Mya Redwyne
trp_kingdom_10_lady_1_pl|Mya Redwyne
trp_kingdom_10_lady_2|Desmera Redwyne
trp_kingdom_10_lady_2_pl|Desmera Redwyne
trp_kingdom_10_lady_3|Ellyn Jast
trp_kingdom_10_lady_3_pl|Ellyn Jast
trp_kingdom_10_lady_4|Cosetta Cuy
trp_kingdom_10_lady_4_pl|Cosetta Cuy
trp_kingdom_10_lady_5|Bethany Redwyne
trp_kingdom_10_lady_5_pl|Bethany Redwyne
trp_kingdom_10_lady_6|Mina Rowan
trp_kingdom_10_lady_6_pl|Mina Rowan
trp_kingdom_10_lady_7|Lyanna Hightower
trp_kingdom_10_lady_7_pl|Lyanna Hightower
trp_kingdom_10_lady_8|Hortense Hightower
trp_kingdom_10_lady_8_pl|Hortense Hightower
trp_kingdom_10_lady_9|Dalla Rowan
trp_kingdom_10_lady_9_pl|Dalla Rowan
trp_kingdom_10_lady_10|Iseult Mullendore
trp_kingdom_10_lady_10_pl|Iseult Mullendore
trp_kingdom_10_lady_11|Jeyne Mullendore
trp_kingdom_10_lady_11_pl|Jeyne Mullendore
trp_kingdom_10_lady_12|Melessa Florent
trp_kingdom_10_lady_12_pl|Melessa Florent
trp_kingdom_10_lady_13|Talla Tarly
trp_kingdom_10_lady_13_pl|Talla Tarly
trp_kingdom_10_lady_14|Shireen Fossoway
trp_kingdom_10_lady_14_pl|Shireen Fossoway
trp_kingdom_10_lady_15|Madeline Fossoway
trp_kingdom_10_lady_15_pl|Madeline Fossoway
trp_kingdom_10_lady_16|Brienne Fell
trp_kingdom_10_lady_16_pl|Brienne Fell
trp_kingdom_10_lady_17|Taena de Myr
trp_kingdom_10_lady_17_pl|Taena de Myr
trp_kingdom_10_lady_18|Carellen Merryweather
trp_kingdom_10_lady_18_pl|Carellen Merryweather
trp_kingdom_10_lady_19|Danelle Beesbury
trp_kingdom_10_lady_19_pl|Danelle Beesbury
trp_kingdom_10_lady_20|Bethany Fossoway
trp_kingdom_10_lady_20_pl|Bethany Fossoway
trp_kingdom_10_lady_21|Alys Fossoway
trp_kingdom_10_lady_21_pl|Alys Fossoway
trp_kingdom_10_lady_22|Amarei Fossoway
trp_kingdom_10_lady_22_pl|Amarei Fossoway
trp_kingdom_10_lady_23|Ashara Peake
trp_kingdom_10_lady_23_pl|Ashara Peake
trp_kingdom_10_lady_24|Dorea Vyrwel
trp_kingdom_10_lady_24_pl|Dorea Vyrwel
trp_kingdom_10_lady_25|Denyse Vyrwel
trp_kingdom_10_lady_25_pl|Denyse Vyrwel
trp_kingdom_10_lady_26|Violet Vyrwel
trp_kingdom_10_lady_26_pl|Violet Vyrwel
trp_kingdom_10_lady_27|Teresa Peake
trp_kingdom_10_lady_27_pl|Teresa Peake
trp_kingdom_10_lady_28|Elayne Crane
trp_kingdom_10_lady_28_pl|Elayne Crane
trp_kingdom_10_lady_29|Melara Crane
trp_kingdom_10_lady_29_pl|Melara Crane
trp_kingdom_10_lady_30|Alerie Florent
trp_kingdom_10_lady_30_pl|Alerie Florent
trp_kingdom_10_lady_32|Janna Tyrell
trp_kingdom_10_lady_32_pl|Janna Tyrell
trp_kingdom_10_lady_33|Mina Tyrell
trp_kingdom_10_lady_33_pl|Mina Tyrell
trp_kingdom_10_lady_34|Leonette Fossoway
trp_kingdom_10_lady_34_pl|Leonette Fossoway
trp_kingdom_10_lady_35|Rhonda Rowan
trp_kingdom_10_lady_35_pl|Rhonda Rowan
trp_kingdom_11_lady_1|Mya Merlyn
trp_kingdom_11_lady_1_pl|Mya Merlyn
trp_kingdom_11_lady_2|Anya Blacktyde
trp_kingdom_11_lady_2_pl|Anya Blacktyde
trp_kingdom_11_lady_3|Emma Farwynd
trp_kingdom_11_lady_3_pl|Emma Farwynd
trp_kingdom_11_lady_4|Elyana Botley
trp_kingdom_11_lady_4_pl|Elyana Botley
trp_kingdom_11_lady_5|Ella Drumm
trp_kingdom_11_lady_5_pl|Ella Drumm
trp_kingdom_11_lady_6|Tarya Blacktyde
trp_kingdom_11_lady_6_pl|Tarya Blacktyde
trp_kingdom_11_lady_7|Emberlei Botley
trp_kingdom_11_lady_7_pl|Emberlei Botley
trp_kingdom_11_lady_8|Harra Botley
trp_kingdom_11_lady_8_pl|Harra Botley
trp_kingdom_11_lady_9|Hostella Botley
trp_kingdom_11_lady_9_pl|Hostella Botley
trp_kingdom_11_lady_10|Joene Sparr
trp_kingdom_11_lady_10_pl|Joene Sparr
trp_kingdom_11_lady_11|Lidia Goodbrother
trp_kingdom_11_lady_11_pl|Lidia Goodbrother
trp_kingdom_11_lady_12|Janyce Goodbrother
trp_kingdom_11_lady_12_pl|Janyce Goodbrother
trp_kingdom_11_lady_13|Sara Volmark
trp_kingdom_11_lady_13_pl|Sara Volmark
trp_kingdom_11_lady_14|Yvetta Wynch
trp_kingdom_11_lady_14_pl|Yvetta Wynch
trp_kingdom_11_lady_15|Jyanna Wynch
trp_kingdom_11_lady_15_pl|Jyanna Wynch
trp_kingdom_12_lady_1|Adanon de Norvos
trp_kingdom_12_lady_1_pl|Adanon de Norvos
trp_kingdom_12_lady_2|Imiria Kam
trp_kingdom_12_lady_2_pl|Imiria Kam
trp_kingdom_12_lady_3|Neqarrio Kam
trp_kingdom_12_lady_3_pl|Neqarrio Kam
trp_kingdom_12_lady_4|Masha de Antigua
trp_kingdom_12_lady_4_pl|Masha de Antigua
trp_kingdom_12_lady_5|Rayma Sontho
trp_kingdom_12_lady_5_pl|Rayma Sontho
trp_kingdom_12_lady_6|Stiliqa Sontho
trp_kingdom_12_lady_6_pl|Stiliqa Sontho
trp_kingdom_12_lady_7|Ekkalana Sontho
trp_kingdom_12_lady_7_pl|Ekkalana Sontho
trp_kingdom_12_lady_8|Lirona Sontho
trp_kingdom_12_lady_8_pl|Lirona Sontho
trp_kingdom_12_lady_9|Perralio Sontho
trp_kingdom_12_lady_9_pl|Perralio Sontho
trp_kingdom_12_lady_10|Lema Sontho
trp_kingdom_12_lady_10_pl|Lema Sontho
trp_kingdom_13_lady_1|Perralio Maegyr
trp_kingdom_13_lady_1_pl|Perralio Maegyr
trp_kingdom_13_lady_2|Qlydia Staegone
trp_kingdom_13_lady_2_pl|Qlydia Staegone
trp_kingdom_13_lady_3|Cilyi Maegyr
trp_kingdom_13_lady_3_pl|Cilyi Maegyr
trp_kingdom_13_lady_4|Ramillia Qhaedarene
trp_kingdom_13_lady_4_pl|Ramillia Qhaedarene
trp_kingdom_13_lady_5|Teleuqe Qhaedarene
trp_kingdom_13_lady_5_pl|Teleuqe Qhaedarene
trp_kingdom_13_lady_6|Voleri de Qohor
trp_kingdom_13_lady_6_pl|Voleri de Qohor
trp_kingdom_13_lady_7|Aleinya Halandar
trp_kingdom_13_lady_7_pl|Aleinya Halandar
trp_kingdom_13_lady_8|Alayayana Halandar
trp_kingdom_13_lady_8_pl|Alayayana Halandar
trp_kingdom_13_lady_9|Alya Halandar
trp_kingdom_13_lady_9_pl|Alya Halandar
trp_kingdom_13_lady_10|Tibiq Halandar
trp_kingdom_13_lady_10_pl|Tibiq Halandar
trp_kingdom_14_lady_1|Beli la Bella
trp_kingdom_14_lady_1_pl|Beli el Bella
trp_kingdom_14_lady_2|Shyma Vaelaros
trp_kingdom_14_lady_2_pl|Shyma Vaelaros
trp_kingdom_14_lady_3|Lymeria Star-Gaze
trp_kingdom_14_lady_3_pl|Lymeria Star-Gaze
trp_kingdom_14_lady_4|Aelia Athor
trp_kingdom_14_lady_4_pl|Aelia Athor
trp_kingdom_14_lady_5|Aelie Athor
trp_kingdom_14_lady_5_pl|Aelie Athor
trp_kingdom_14_lady_6|Ayanana Athor
trp_kingdom_14_lady_6_pl|Ayanana Athor
trp_kingdom_14_lady_7|Tariah Summer-Born
trp_kingdom_14_lady_7_pl|Tariah Summer-Born
trp_kingdom_14_lady_8|Voleri Alayris
trp_kingdom_14_lady_8_pl|Voleri Alayris
trp_kingdom_14_lady_9|Doreana Alayris
trp_kingdom_14_lady_9_pl|Doreana Alayris
trp_kingdom_15_lady_1|Menyra de Yunkai
trp_kingdom_15_lady_1_pl|Menyra de Yunkai
trp_kingdom_15_lady_2|Iliona Heokenemsos
trp_kingdom_15_lady_2_pl|Iliona Heokenemsos
trp_kingdom_15_lady_3|Hemia Heokenemsos
trp_kingdom_15_lady_3_pl|Hemia Heokenemsos
trp_kingdom_15_lady_4|Dereah de Yunkai
trp_kingdom_15_lady_4_pl|Dereah de Yunkai
trp_kingdom_15_lady_5|Sera Pasnak
trp_kingdom_15_lady_5_pl|Sera Pasnak
trp_kingdom_15_lady_6|Saleria Pasnak
trp_kingdom_15_lady_6_pl|Saleria Pasnak
trp_kingdom_15_lady_7|Rhylla Pasnak
trp_kingdom_15_lady_7_pl|Rhylla Pasnak
trp_kingdom_15_lady_8|Onia Pasnak
trp_kingdom_15_lady_8_pl|Onia Pasnak
trp_kingdom_15_lady_9|Jameroi Pasnak
trp_kingdom_15_lady_9_pl|Jameroi Pasnak
trp_kingdom_15_lady_10|Kesai Olasos
trp_kingdom_15_lady_10_pl|Kesai Olasos
trp_kingdom_15_lady_11|Ylleria Isalios
trp_kingdom_15_lady_11_pl|Ylleria Isalios
trp_kingdom_15_lady_12|Qamma Isalios
trp_kingdom_15_lady_12_pl|Qamma Isalios
trp_kingdom_15_lady_13|Ixamina Isalios
trp_kingdom_15_lady_13_pl|Ixamina Isalios
trp_kingdom_16_lady_1|Minaquo de Pentos
trp_kingdom_16_lady_1_pl|Minaquo de Pentos
trp_kingdom_16_lady_2|Helona Vhassar
trp_kingdom_16_lady_2_pl|Helona Vhassar
trp_kingdom_16_lady_3|Qholeria Vhassar
trp_kingdom_16_lady_3_pl|Qholeria Vhassar
trp_kingdom_16_lady_4|Miliqia la Doncella
trp_kingdom_16_lady_4_pl|Miliqia la Doncella
trp_kingdom_16_lady_5|Kelqiane Paenymion
trp_kingdom_16_lady_5_pl|Kelqiane Paenymion
trp_kingdom_16_lady_6|Umera Paenymion
trp_kingdom_16_lady_6_pl|Umera Paenymion
trp_kingdom_16_lady_7|Alya de Sarnor
trp_kingdom_16_lady_7_pl|Alya de Sarnor
trp_kingdom_16_lady_8|Menne Melane
trp_kingdom_16_lady_8_pl|Menne Melane
trp_kingdom_16_lady_9|Trianna Melane
trp_kingdom_16_lady_9_pl|Trianna Melane
trp_kingdom_17_lady_1|Kalliope de Qarth
trp_kingdom_17_lady_1_pl|Kalliope de Qarth
trp_kingdom_17_lady_2|Soreah Maje
trp_kingdom_17_lady_2_pl|Soreah Maje
trp_kingdom_17_lady_3|Rayma de las Colinas
trp_kingdom_17_lady_3_pl|Rayma de las Colinas
trp_kingdom_17_lady_4|Ikhana Melas
trp_kingdom_17_lady_4_pl|Ikhana Melas
trp_kingdom_17_lady_5|Belia Melas
trp_kingdom_17_lady_5_pl|Belia Melas
trp_kingdom_17_lady_6|Nyemossi Melas
trp_kingdom_17_lady_6_pl|Nyemossi Melas
trp_kingdom_17_lady_7|Molla Melas
trp_kingdom_17_lady_7_pl|Molla Melas
trp_kingdom_17_lady_8|Trianna Melas
trp_kingdom_17_lady_8_pl|Trianna Melas
trp_kingdom_17_lady_9|Mellario Melas
trp_kingdom_17_lady_9_pl|Mellario Melas
trp_kingdom_17_lady_10|Peannya Melas
trp_kingdom_17_lady_10_pl|Peannya Melas
trp_kingdom_17_lady_11|Haeria Melas
trp_kingdom_17_lady_11_pl|Haeria Melas
trp_kingdom_17_lady_12|Eaondia Melas
trp_kingdom_17_lady_12_pl|Eaondia Melas
trp_kingdom_17_lady_13|Minaia la Calva
trp_kingdom_17_lady_13_pl|Minaia la Calva
trp_kingdom_18_lady_1|Doreah de Myr
trp_kingdom_18_lady_1_pl|Doreah de Myr
trp_kingdom_18_lady_2|Foreria Saar
trp_kingdom_18_lady_2_pl|Foreria Saar
trp_kingdom_19_lady_1|Iseult Blacktyde
trp_kingdom_19_lady_1_pl|Iseult Blacktyde
trp_kingdom_19_lady_2|Gisella Tollett
trp_kingdom_19_lady_2_pl|Gisella Tollett
trp_kingdom_19_lady_3|Nora Borrell
trp_kingdom_19_lady_3_pl|Nora Borrell
trp_kingdom_19_lady_4|Aethelwyn Borrell
trp_kingdom_19_lady_4_pl|Aethelwyn Borrell
trp_kingdom_19_lady_5|Ianni Borrell
trp_kingdom_19_lady_5_pl|Ianni Borrell
trp_kingdom_19_lady_6|Adelaide Torrent
trp_kingdom_19_lady_6_pl|Adelaide Torrent
trp_kingdom_21_lady_1|Dalla
trp_kingdom_21_lady_1_pl|Dalla
trp_kingdom_21_lady_2|Val
trp_kingdom_21_lady_2_pl|Val
trp_kingdom_21_lady_3|Munda
trp_kingdom_21_lady_3_pl|Munda
trp_kingdom_21_lady_4|Gerra
trp_kingdom_21_lady_4_pl|Gerra
trp_kingdom_21_lady_5|Rayma
trp_kingdom_21_lady_5_pl|Rayma
trp_kingdom_21_lady_6|Willow
trp_kingdom_21_lady_6_pl|Willow
trp_kingdom_21_lady_7|Rowan
trp_kingdom_21_lady_7_pl|Rowan
trp_kingdom_21_lady_8|Hilda
trp_kingdom_21_lady_8_pl|Hilda
trp_kingdom_6_lady_28|Elia Arena
trp_kingdom_6_lady_28_pl|Elia Arena
trp_kingdom_6_lady_31|Valena Toland
trp_kingdom_6_lady_31_pl|Valena Toland
trp_kingdom_6_lady_32|Teora Toland
trp_kingdom_6_lady_32_pl|Teora Toland
trp_kingdom_2_lady_35|Dacey Mormont
trp_kingdom_2_lady_35_pl|Dacey Mormont
trp_kingdom_2_lady_36|Alysane Mormont
trp_kingdom_2_lady_36_pl|Alysane Mormont
trp_swadian_n_hero1|Excellent Swadian Sergeant
trp_swadian_n_hero1_pl|Excellent Swadian Sergeants
trp_swadian_n_hero2|Excellent Swadian Sharpshooter
trp_swadian_n_hero2_pl|Excellent Swadian Sharpshooters
trp_vaegir_n_hero1|Excellent Vaegir Knight
trp_vaegir_n_hero1_pl|Excellent Vaegir Knights
trp_vaegir_n_hero2|Excellent Vaegir Guard
trp_vaegir_n_hero2_pl|Excellent Vaegir Guards
trp_khergit_n_hero1|Excellent Khergit Veteran Horse Archer
trp_khergit_n_hero1_pl|Excellent Khergit Veteran Horse Archers
trp_nord_n_hero1|Excellent Nord Huscarl
trp_nord_n_hero1_pl|Excellent Nord Huscarls
trp_rhodok_n_hero1|Excellent Rhodok Sergeant
trp_rhodok_n_hero1_pl|Excellent Rhodok Sergeants
trp_rhodok_n_hero2|Excellent Rhodok Sharpshooter
trp_rhodok_n_hero2_pl|Excellent Rhodok Sharpshooters
trp_sarranid_n_hero1|Excellent Sarranid Mamluke
trp_sarranid_n_hero1_pl|Excellent Sarranid Mamlukes
trp_sarranid_n_hero2|Excellent Sarranid Master Archer
trp_sarranid_n_hero2_pl|Excellent Sarranid Master Archers
trp_swadian_r_hero1|Excellent Swadian Jock
trp_swadian_r_hero1_pl|Excellent Swadian Jocks
trp_swadian_r_hero2|Excellent Swadian Selfbow Archer
trp_swadian_r_hero2_pl|Excellent Swadian Selfbow Archers
trp_vaegir_r_hero1|Otlichniy Vaegir Ataman
trp_vaegir_r_hero1_pl|Otlichniy Vaegir Atamany
trp_vaegir_r_hero2|Otlichniy Vaegir Druzhinnik-Veteran
trp_vaegir_r_hero2_pl|Otlichniy Vaegir Druzhinniki-Veterany
trp_khergit_r_hero1|Ontzsayn Khergit Khevtuul
trp_khergit_r_hero1_pl|Ontzsayn Khergit Khevtuulcuud
trp_khergit_r_hero2|Ontzsayn Khergit Borjigin
trp_khergit_r_hero2_pl|Ontzsayn Khergit Borjiginuud
trp_nord_r_hero1|Utmarkt Nord Heahgerefa
trp_nord_r_hero1_pl|Utmarkt Nord Heahgerefar
trp_nord_r_hero2|Utmarkt Nord Kappi
trp_nord_r_hero2_pl|Utmarkt Nord Kappir
trp_rhodok_r_hero1|Eccelente Rhodok Balestriere Veterano
trp_rhodok_r_hero1_pl|Eccelente Rhodok Balestrieri Veterani
trp_rhodok_r_hero2|Eccelente Rhodok Picchiere Veterano
trp_rhodok_r_hero2_pl|Eccelente Rhodok Picchieri Veterani
trp_sarranid_r_hero1|Mumtaz Sarranid Kapikula
trp_sarranid_r_hero1_pl|Mumtaz Sarranid Kapikulani
trp_sarranid_r_hero2|Mumtaz Sarranid Uluteci
trp_sarranid_r_hero2_pl|Mumtaz Sarranid Uluteciler
trp_swadian_e_hero1|Excellent Swadian Highlander
trp_swadian_e_hero1_pl|Excellent Swadian Highlanders
trp_swadian_e_hero2|Excellent Swadian Lancer
trp_swadian_e_hero2_pl|Excellent Swadian Lancers
trp_vaegir_e_hero1|Otlichniy Vaegir Legkoy Vityas
trp_vaegir_e_hero1_pl|Otlichniy Vaegir Legkoi Vityasy
trp_vaegir_e_hero2|Otlichniy Vaegir Voevoda
trp_vaegir_e_hero2_pl|Otlichniy Vaegir Voevody
trp_vaegir_e_hero3|Otlichniy Vaegir Elitniy Druzhinnik
trp_vaegir_e_hero3_pl|Otlichniy Vaegir Elitniy Druzhinniki
trp_khergit_e_hero1|Ontzsayn Khergit Keshig
trp_khergit_e_hero1_pl|Ontzsayn Khergit Keshignuud
trp_khergit_e_hero2|Ontzsayn Khergit Kharvaach
trp_khergit_e_hero2_pl|Ontzsayn Khergit Kharvaachuud
trp_khergit_e_hero3|Ontzsayn Khergit Jurtchi
trp_khergit_e_hero3_pl|Ontzsayn Khergit Jurtchinuud
trp_nord_e_hero1|Utmarkt Nord Ealdorman
trp_nord_e_hero1_pl|Utmarkt Nord Ealdormen
trp_nord_e_hero2|Utmarkt Nord Erfarne Himthige
trp_nord_e_hero2_pl|Utmarkt Nord Erfarne Himthiger
trp_nord_e_hero3|Utmarkt Nord Hetja
trp_nord_e_hero3_pl|Utmarkt Nord Erfarne Hetjar
trp_rhodok_e_hero1|Eccelente Rhodok Balestriere Pesante
trp_rhodok_e_hero1_pl|Eccelente Rhodok Balestrieri Pesanti
trp_rhodok_e_hero2|Eccelente Rhodok Capitano di Ventura
trp_rhodok_e_hero2_pl|Eccelente Rhodok Capitani di Venturi
trp_rhodok_e_hero3|Eccelente Rhodok Guardia Ducale
trp_rhodok_e_hero3_pl|Eccelente Rhodok Guardie Ducali
trp_sarranid_e_hero1|Mumtaz Sarranid Qilich Arslan
trp_sarranid_e_hero1_pl|Mumtaz Sarranid Qilich Arslani
trp_sarranid_e_hero2|Mumtaz Sarranid Sekban
trp_sarranid_e_hero2_pl|Mumtaz Sarranid Sekbanlar
trp_sarranid_e_hero3|Mumtaz Sarranid Silahtar
trp_sarranid_e_hero3_pl|Mumtaz Sarranid Silahtarin
trp_town_1_arena_master|Maestro del Torneo
trp_town_3_arena_master|Maestro del Torneo
trp_town_6_arena_master|Maestro del Torneo
trp_town_8_arena_master|Maestro del Torneo
trp_town_9_arena_master|Maestro del Torneo
trp_town_12_arena_master|Maestro del Torneo
trp_town_16_arena_master|Maestro del Torneo
trp_town_17_arena_master|Maestro del Torneo
trp_town_18_arena_master|Maestro del Torneo
trp_town_19_arena_master|Maestro del Torneo
trp_town_20_arena_master|Maestro del Torneo
trp_town_23_arena_master|Maestro del Torneo
trp_town_24_arena_master|Maestro del Torneo
trp_town_25_arena_master|Maestro del Torneo
trp_town_26_arena_master|Maestro del Torneo
trp_town_27_arena_master|Maestro del Torneo
trp_town_30_arena_master|Maestro del Torneo
trp_town_31_arena_master|Maestro del Torneo
trp_town_32_arena_master|Maestro del Torneo
trp_town_33_arena_master|Maestro del Torneo
trp_town_34_arena_master|Maestro del Torneo
trp_town_35_arena_master|Maestro del Torneo
trp_town_36_arena_master|Maestro del Torneo
trp_town_38_arena_master|Maestro del Torneo
trp_town_40_arena_master|Maestro del Torneo
trp_town_41_arena_master|Maestro del Torneo
trp_town_42_arena_master|Maestro del Torneo
trp_town_44_arena_master|Maestro del Torneo
trp_town_45_arena_master|Maestro del Torneo
trp_town_46_arena_master|Maestro del Torneo
trp_town_47_arena_master|Maestro del Torneo
trp_town_48_arena_master|Maestro del Torneo
trp_town_49_arena_master|Maestro del Torneo
trp_town_50_arena_master|Maestro del Torneo
trp_town_51_arena_master|Maestro del Torneo
trp_town_52_arena_master|Maestro del Torneo
trp_town_1_crook|Town 1 Crook
trp_town_1_crook_pl|Town 1 Crook
trp_town_3_crook|Town 3 Crook
trp_town_3_crook_pl|Town 3 Crook
trp_town_6_crook|Town 6 Crook
trp_town_6_crook_pl|Town 6 Crook
trp_town_8_crook|Town 8 Crook
trp_town_8_crook_pl|Town 8 Crook
trp_town_9_crook|Town 9 Crook
trp_town_9_crook_pl|Town 9 Crook
trp_town_12_crook|Town 12 Crook
trp_town_12_crook_pl|Town 12 Crook
trp_town_16_crook|Town 16 Crook
trp_town_16_crook_pl|Town 16 Crook
trp_town_17_crook|Town 17 Crook
trp_town_17_crook_pl|Town 17 Crook
trp_town_18_crook|Town 18 Crook
trp_town_18_crook_pl|Town 18 Crook
trp_town_19_crook|Town 19 Crook
trp_town_19_crook_pl|Town 19 Crook
trp_town_20_crook|Town 20 Crook
trp_town_20_crook_pl|Town 20 Crook
trp_town_23_crook|Town 1 Crook
trp_town_23_crook_pl|Town 1 Crook
trp_town_24_crook|Town 2 Crook
trp_town_24_crook_pl|Town 2 Crook
trp_town_25_crook|Town 3 Crook
trp_town_25_crook_pl|Town 3 Crook
trp_town_26_crook|Town 4 Crook
trp_town_26_crook_pl|Town 4 Crook
trp_town_27_crook|Town 5 Crook
trp_town_27_crook_pl|Town 5 Crook
trp_town_30_crook|Town 8 Crook
trp_town_30_crook_pl|Town 8 Crook
trp_town_31_crook|Town 9 Crook
trp_town_31_crook_pl|Town 9 Crook
trp_town_32_crook|Town 10 Crook
trp_town_32_crook_pl|Town 10 Crook
trp_town_33_crook|Town 11 Crook
trp_town_33_crook_pl|Town 11 Crook
trp_town_34_crook|Town 12 Crook
trp_town_34_crook_pl|Town 12 Crook
trp_town_35_crook|Town 13 Crook
trp_town_35_crook_pl|Town 13 Crook
trp_town_36_crook|Town 14 Crook
trp_town_36_crook_pl|Town 14 Crook
trp_town_38_crook|Town 16 Crook
trp_town_38_crook_pl|Town 16 Crook
trp_town_40_crook|Town 18 Crook
trp_town_40_crook_pl|Town 18 Crook
trp_town_41_crook|Town 19 Crook
trp_town_41_crook_pl|Town 19 Crook
trp_town_42_crook|Town 20 Crook
trp_town_42_crook_pl|Town 20 Crook
trp_town_44_crook|Town 22 Crook
trp_town_44_crook_pl|Town 22 Crook
trp_town_45_crook|Town 21 Crook
trp_town_45_crook_pl|Town 21 Crook
trp_town_46_crook|Town 22 Crook
trp_town_46_crook_pl|Town 22 Crook
trp_town_47_crook|Town 22 Crook
trp_town_47_crook_pl|Town 22 Crook
trp_town_48_crook|Town 22 Crook
trp_town_48_crook_pl|Town 22 Crook
trp_town_49_crook|Town 22 Crook
trp_town_49_crook_pl|Town 22 Crook
trp_town_50_crook|Town 22 Crook
trp_town_50_crook_pl|Town 22 Crook
trp_town_51_crook|Town 22 Crook
trp_town_51_crook_pl|Town 22 Crook
trp_town_52_crook|Town 22 Crook
trp_town_52_crook_pl|Town 22 Crook
trp_town_1_armorer|Herrero
trp_town_3_armorer|Herrero
