str_no_string|ŽÁDNÝ TEXT!
; str__i_am_acting_independently_although_some_enemies_have_been_spotted_within_our_borders_they_havent_come_in_force_and_the_local_troops_should_be_able_to_dispatch_them| I am acting independently. Although some enemies have been spotted within our borders, they haven't come in force and the local troops should be able to dispatch them.
; str__the_needs_of_the_realm_must_come_first| The needs of the realm must come first.
; str_we_are_likely_to_be_overwhelmed_by_the_s9_let_each_defend_their_own|We are likely to be overwhelmed by {s9}. Let each defend their own.
; str_we_should_see_this_siege_through|We should see this siege through.
; str_we_should_prepare_to_defend_s21_but_we_should_gather_our_forces_until_we_are_strong_enough_to_engage_them|We should prepare to defend {s21}, but we should gather our forces until we are strong enough to engage them.
; str_we_should_prepare_to_defend_s21_but_first_we_have_to_gather|We should prepare to defend {s21}. But first we have to gather our army.
; str_we_should_ride_to_break_the_siege_of_s21|We should ride to break the siege of {s21}.
; str_we_should_ride_to_defeat_the_enemy_gathered_near_s21|We should ride to defeat the enemy gathered near {s21}.
; str_we_have_located_s21s_army_and_we_should_engage_it|We have located {s21}'s army, and we should engage it.
; str_this_offensive_needs_to_wind_down_soon_so_the_vassals_can_attend_to_their_own_business|This offensive needs to wind down soon, so the vassals can attend to their own business.
; str_the_vassals_are_tired_we_let_them_rest_for_some_time|The vassals are tired of campaigning. We should let them rest for some time.
; str_the_vassals_still_need_time_to_attend_to_their_own_business|The vassals still need time to attend to their own business.
; str_it_is_time_to_go_on_the_offensive_and_we_must_first_assemble_the_army|It is time to go on the offensive, and we must first assemble the army.
; str_we_must_continue_to_gather_the_army_before_we_ride_forth_on_an_offensive_operation|We have only assembled a few vassals, but we must continue to gather the army before we ride forth on an offensive operation.
; str_there_is_no_need_to_beat_around_the_borders__we_can_take_one_of_their_important_towns|There is no need to beat around the borders, we can take one of their important towns.
; str_we_should_exploit_our_success_over_s21_by_seizing_one_of_their_fortresses|We should exploit our success over {s21} by seizing one of their fortresses.
; str_we_shall_leave_a_fiery_trail_through_the_heart_of_the_enemys_lands_targeting_the_wealthy_settlements_if_we_can|We shall leave a fiery trail through the heart of the enemy's lands, targeting the wealthy settlements if we can.
; str_the_army_will_be_disbanded_because_we_have_been_waiting_too_long_without_a_target|The army will be disbanded, because we have been waiting too long without a target.
; str_it_is_time_for_the_feast_to_conclude|It is time for the feast to conclude.
; str_we_should_continue_the_feast_unless_there_is_an_emergency|We should continue the feast, unless there is an emergency.
; str_you_had_wished_to_hold_a_feast|You had wished to hold a feast.
; str_your_wedding_day_approaches_my_lady|Your wedding day approaches, my lady.
; str_your_wedding_day_approaches|Your wedding day approaches.
; str_s22_and_s23_wish_to_marry|{s22} and {s23} wish to marry.
; str_it_has_been_a_long_time_since_the_lords_of_the_realm_gathered_for_a_feast|It has been a long time since the lords of the realm gathered for a feast.
; str_the_circumstances_which_led_to_this_decision_no_longer_apply_so_we_should_stop_and_reconsider_shortly|The circumstances which led to this decision no longer apply, so we should stop and reconsider shortly.
; str_s15_is_at_war_with_s16_|{s15} is at war with {s16}. 
; str_in_the_short_term_s15_has_a_truce_with_s16_as_a_matter_of_general_policy_|In the short term, {s15} has a truce with {s16}. As a matter of general policy, 
; str_in_the_short_term_s15_was_recently_provoked_by_s16_and_is_under_pressure_to_declare_war_as_a_matter_of_general_policy_|In the short term, {s15} was recently provoked by {s16}, and is under pressure to declare war. As a matter of general policy, 
; str_s12s15_cannot_negotiate_with_s16_as_to_do_so_would_undermine_reg4herhis_own_claim_to_the_throne_this_civil_war_must_almost_certainly_end_with_the_defeat_of_one_side_or_another|{s12}{s15} cannot negotiate with {s16}, as to do so would undermine {reg4?her:his} own claim to the throne. This civil war must almost certainly end with the defeat of one side or another.
; str_s12s15_considers_s16_to_be_dangerous_and_untrustworthy_and_shehe_wants_to_bring_s16_down|{s12}{s15} considers {s16} to be dangerous and untrustworthy, and {reg4?she:he} wants to bring {s16} down.
; str_s12s15_is_anxious_to_reclaim_old_lands_such_as_s18_now_held_by_s16|{s12}{s15} is anxious to reclaim old lands such as {s18}, now held by {s16}.
; str_s12s15_feels_that_reg4shehe_is_winning_the_war_against_s16_and_sees_no_reason_not_to_continue|{s12}{s15} feels that {reg4?she:he} is winning the war against {s16}, and sees no reason not to continue.
; str_s12s15_faces_too_much_internal_discontent_to_feel_comfortable_ignoring_recent_provocations_by_s16s_subjects|{s12}{s15} faces too much internal discontent to feel comfortable ignoring recent provocations by {s16}'s subjects.
; str_s12even_though_reg4shehe_is_fighting_on_two_fronts_s15_is_inclined_to_continue_the_war_against_s16_for_a_little_while_longer_for_the_sake_of_honor|{s12}Even though {reg4?she:he} is fighting on two fronts, {s15} is inclined to continue the war against {s16} for a little while longer, for the sake of honor.
; str_s12s15_feels_that_reg4shehe_must_pursue_the_war_against_s16_for_a_little_while_longer_for_the_sake_of_honor|{s12}{s15} feels that {reg4?she:he} must pursue the war against {s16} for a little while longer, for the sake of honor.
; str_s12s15_is_currently_on_the_offensive_against_s17_now_held_by_s16_and_reluctant_to_negotiate|{s12}{s15} is currently on the offensive against {s17}, now held by {s16}, and reluctant to negotiate.
; str_s12s15_is_alarmed_by_the_growing_power_of_s16|{s12}{s15} is alarmed by the growing power of {s16}.
; str_s12s15_distrusts_s16_and_fears_that_any_deals_struck_between_the_two_realms_will_not_be_kept|{s12}{s15} distrusts {s16}, and fears that any deals struck between the two realms will not be kept.
; str_s12s15_is_at_war_on_too_many_fronts_and_eager_to_make_peace_with_s16|{s12}{s15} is at war on too many fronts, and eager to make peace with {s16}.
; str_s12s15_seems_to_think_that_s16_and_reg4shehe_have_a_common_enemy_in_the_s17|{s12}{s15} seems to think that {s16} and {reg4?she:he} have a common enemy in the {s17}.
; str_s12s15_feels_frustrated_by_reg4herhis_inability_to_strike_a_decisive_blow_against_s16|{s12}{s15} feels frustrated by {reg4?her:his} inability to strike a decisive blow against {s16}.
; str_s12s15_has_suffered_enough_in_the_war_with_s16_for_too_little_gain_and_is_ready_to_pursue_a_peace|{s12}{s15} has suffered enough in the war with {s16}, for too little gain, and is ready to pursue a peace.
; str_s12s15_would_like_to_firm_up_a_truce_with_s16_to_respond_to_the_threat_from_the_s17|{s12}{s15} would like to firm up a truce with {s16} to respond to the threat from the {s17}.
; str_s12s15_wishes_to_be_at_peace_with_s16_so_as_to_pursue_the_war_against_the_s17|{s12}{s15} wishes to be at peace with {s16} so as to pursue the war against the {s17}.
; str_s12s15_seems_to_be_intimidated_by_s16_and_would_like_to_avoid_hostilities|{s12}{s15} seems to be intimidated by {s16}, and would like to avoid hostilities.
; str_s12s15_has_no_particular_reason_to_continue_the_war_with_s16_and_would_probably_make_peace_if_given_the_opportunity|{s12}{s15} has no particular reason to continue the war with {s16}, and would probably make peace if given the opportunity.
; str_s12s15_seems_to_be_willing_to_improve_relations_with_s16|{s12}{s15} seems to be willing to improve relations with {s16}.
; str_excuse_me_how_can_you_possibly_imagine_yourself_worthy_to_marry_into_our_family|Excuse me? How can you possibly imagine yourself worthy to marry into our family?
; str_em_with_regard_to_her_ladyship_we_were_looking_specifically_for_a_groom_of_some_distinction_fight_hard_count_your_dinars_and_perhaps_some_day_in_the_future_we_may_speak_of_such_things_my_good_man|Em... With regard to her ladyship, we were looking specifically for a groom of some distinction. Fight hard, count your coins, and perhaps some day in the future we may speak of such things, my good man!
; str_em_with_regard_to_her_ladyship_we_were_looking_specifically_for_a_groom_of_some_distinction|Em... With regard to her ladyship, we were looking specifically for a groom of some distinction.
; str_it_is_too_early_for_you_to_be_speaking_of_such_things_you_are_still_making_your_mark_in_the_world|It is too early for you to be speaking of such things. You are still making your mark in the world.
; str_you_dont_serve_the_s4_so_id_say_no_one_day_we_may_be_at_war_and_i_prefer_not_to_have_to_kill_my_inlaws_if_at_all_possible|You don't serve the {s4}, so I'd say no. One day we may be at war, and I prefer not to have to kill my in-laws, if at all possible.
; str_as_you_are_not_a_vassal_of_the_s4_i_must_decline_your_request_the_twists_of_fate_may_mean_that_we_will_one_day_cross_swords_and_i_would_hope_not_to_make_a_widow_of_a_lady_whom_i_am_obligated_to_protect|As you are not a vassal of {s4}, I must decline your request. The twists of fate may mean that we will one day cross swords, and I would hope not to make a widow of a lady whom I am obligated to protect.
; str_as_you_are_not_a_pledged_vassal_of_our_liege_with_the_right_to_hold_land_i_must_refuse_your_request_to_marry_into_our_family|As you are not a pledged vassal of his Majesty, with the right to hold land, I must refuse your request to marry into our family.
; str_look_here_lad__the_young_s14_has_been_paying_court_to_s16_and_youll_have_to_admit__hes_a_finer_catch_for_her_than_you_so_lets_have_no_more_of_this_talk_shall_we|Look here, lad -- the young {s14} has been paying court to {s16}, and you'll have to admit -- he's a finer catch for her than you. So let's have no more of this talk, shall we?
; str_i_do_not_care_for_you_sir_and_i_consider_it_my_duty_to_protect_the_ladies_of_my_household_from_undesirable_suitors|I do not care for you, sir, and I consider it my duty to protect the ladies of my household from undesirable suitors...
; str_hmm_young_girls_may_easily_be_led_astray_so_out_of_a_sense_of_duty_to_the_ladies_of_my_household_i_think_i_would_like_to_get_to_know_you_a_bit_better_we_may_speak_of_this_at_a_later_date|Hmm. Young girls may easily be led astray, so out of a sense of duty to the ladies of my household, I think I would like to get to know you a bit better. We may speak of this at a later date.
; str_you_may_indeed_make_a_fine_match_for_the_young_mistress|You may indeed make a fine match for the young mistress.
; str_madame__given_our_relations_in_the_past_this_proposal_is_most_surprising_i_do_not_think_that_you_are_the_kind_of_woman_who_can_be_bent_to_a_hushands_will_and_i_would_prefer_not_to_have_our_married_life_be_a_source_of_constant_acrimony|Given our relations in the past, this proposal is most surprising. I do not think that you are the kind of {man/woman} who can be bent to a {wife/husband}'s will, and I would prefer not to have our married life be a source of constant acrimony.
; str_i_would_prefer_to_marry_a_proper_maiden_who_will_obey_her_husband_and_is_not_likely_to_split_his_head_with_a_sword|I would prefer to marry a proper {lord/maiden} who will {cherish/obey} {his/her} {wife/husband}, and is not likely to split {her/his} head with a sword.
; str_my_lady_while_i_admire_your_valor_you_will_forgive_me_if_i_tell_you_that_a_woman_like_you_does_not_uphold_to_my_ideal_of_the_feminine_of_the_delicate_and_of_the_pure|My {lord/lady}, while I admire your valor and your beauty, you will forgive me if I tell you that a {man/woman} like you does not uphold to my ideal of a {husband/wife}: {masculine/feminine}, delicate, and pure.
; str_nah_i_want_a_woman_wholl_keep_quiet_and_do_what_shes_told_i_dont_think_thats_you|Nah. I want a {man/woman} who'll keep quiet and do what {he/she}'s told. I don't think that's you.
; str_my_lady_you_are_possessed_of_great_charms_but_no_properties_until_you_obtain_some_to_marry_you_would_be_an_act_of_ingratitude_towards_my_ancestors_and_my_lineage|My {lord/lady}, you are possessed of great charms, but no properties. Until you obtain some, to marry you would be an act of ingratitude towards my ancestors and my lineage.
; str_my_lady_you_are_a_woman_of_no_known_family_of_no_possessions__in_short_a_nobody_do_you_think_that_you_are_fit_to_marry_into_may_family|My {lord/lady}, you are a {man/woman} of no known family, of no possessions -- in short, a nobody. Do you think that you are fit to marry into may family?
; str_my_lady__forgive_me__the_quality_of_our_bond_is_not_of_the_sort_which_the_poets_tell_us_is_necessary_to_sustain_a_happy_marriage|My {lord/lady} -- forgive me -- the quality of our bond is not of the sort which the poets tell us is necessary to sustain a happy marriage.
; str_um_i_think_that_if_i_want_to_stay_on_s4s_good_side_id_best_not_marry_you|Um, I think that if I want to stay on {s4}'s good side, I'd best not marry you.
; str_you_serve_another_realm_i_dont_see_s4_granting_reg4herhis_blessing_to_our_union|You serve another realm. I don't see {s4} granting {reg4?her:his} blessing to our union.
; str_madame_my_heart_currently_belongs_to_s4|My heart currently belongs to {s4}.
; str_my_lady_you_are_a_woman_of_great_spirit_and_bravery_possessed_of_beauty_grace_and_wit_i_shall_give_your_proposal_consideration|My {lord/lady}, you are a {man/woman} of great spirit and bravery, possessed of {strength/beauty}, {courage/grace}, and wit. I shall give your proposal consideration.
; str_my_lady_you_are_a_woman_of_great_spirit_and_bravery_possessed_of_beauty_grace_and_wit_i_would_be_most_honored_were_you_to_become_my_wife|My {lord/lady}, you are a {man/woman} of great spirit and bravery, possessed of {strength/beauty}, {courage/grace}, and wit. I would be most honored were you to become my {husband/wife}.
; str_ah__kais_and_layali__such_a_sad_tale_many_a_time_has_it_been_recounted_for_my_family_by_the_wandering_poets_who_come_to_our_home_and_it_has_never_failed_to_bring_tears_to_our_eyes|Ah -- 'The Rains of Castamere' -- such a sad tale. Many a time has it been recounted for my family by the wandering poets who come to our home, and it has never failed to bring tears to our eyes.
; str_kais_and_layali_three_hundred_stanzas_of_pathetic_sniveling_if_you_ask_me_if_kais_wanted_to_escape_heartbreak_he_should_have_learned_to_live_within_his_station_and_not_yearn_for_what_he_cannot_have|'The Rains of Castamere'? A hundred stanzas of pathetic sniveling, if you ask me. If we had to have a poem, song or ballad for every house that's ever been defeated, we'd all be singing from dawn 'till dusk
; str_kais_and_layali_no_one_should_ever_have_written_such_a_sad_poem_if_it_was_the_destiny_of_kais_and_layali_to_be_together_than_their_love_should_have_conquered_all_obstacles|'The Rains of Castamere'? No one should ever have written such a sad song! If it was the destiny of Ellyn Reyne and Lord Tarbeck to be together, then their love should have conquered all obstacles!
; str_ah_kais_and_layali_a_very_old_standby_but_moving_in_its_way|Ah, 'The Rains of Castamere.' A very martial song, but moving, in its way.
; str_the_saga_of_helgered_and_kara_such_happy_times_in_which_our_ancestors_lived_women_like_kara_could_venture_out_into_the_world_like_men_win_a_name_for_themselves_and_not_linger_in_their_husbands_shadow|The saga of 'Florian and Jonquil'? Such happy times in which our ancestors lived! Women like Jonquil could venture out into the world like men, win a name for themselves, and not linger in their husbands' shadow.
; str_ah_the_saga_of_helgered_and_kara_now_there_was_a_lady_who_knew_what_she_wanted_and_was_not_afraid_to_obtain_it|Ah, the saga of 'Florian and Jonquil'. Now there was a lady who knew what she wanted, and was not afraid to obtain it.
; str_the_saga_of_helgered_and_kara_a_terrible_tale__but_it_speaks_of_a_very_great_love_if_she_were_willing_to_make_war_on_her_own_family|The saga of 'Florian and Jonquil'? A terrible tale - but it speaks of a very great love, if she were willing to make war on her own family.
; str_the_saga_of_helgered_and_kara_as_i_recall_kara_valued_her_own_base_passions_over_duty_to_her_family_that_she_made_war_on_her_own_father_i_have_no_time_for_a_poem_which_praises_such_a_woman|The saga of 'Florian and Jonquil'? As I recall, Jonquil valued her own base passions over duty to her family that she made war on her own father. I have no time for a poem which praises such a woman!
; str_the_saga_of_helgered_and_kara_how_could_a_woman_don_armor_and_carry_a_sword_how_could_a_man_love_so_ungentle_a_creature|The saga of 'Florian and Jonquil'? How could a woman don armor and carry a sword! How could a man love so ungentle a creature!
; str_a_conversation_in_the_garden_i_cannot_understand_the_lady_in_that_poem_if_she_loves_the_man_why_does_she_tease_him_so|'The Bear and the Maiden Fair'? I cannot understand the lady in that poem. If she loves the man, why does she tease him so?
; str_a_conversation_in_the_garden_let_us_see__it_is_morally_unedifying_it_exalts_deception_it_ends_with_a_maiden_surrendering_to_her_base_passions_and_yet_i_cannot_help_but_find_it_charming_perhaps_because_it_tells_us_that_love_need_not_be_tragic_to_be_memorable|'The Bear and the Maiden Fair'? Let us see -- it is morally unedifying, it exalts deception, it ends with a maiden surrendering to her base passions... And yet I cannot help but find it charming, perhaps because it tells us that love need not be tragic to be memorable.
; str_a_conversation_in_the_garden_now_that_is_a_tale_every_lady_should_know_by_heart_to_learn_the_subtleties_of_the_politics_she_must_practice|'The Bear and the Maiden Fair'? Now that is a tale every lady should know by heart, to learn the subtleties of the politics she must practice!
; str_a_conversation_in_the_garden_it_is_droll_i_suppose__although_there_is_nothing_there_that_truly_stirs_my_soul|'The Bear and the Maiden Fair'? It is droll, I suppose -- although there is nothing there that truly stirs my soul.
; str_storming_the_fortress_of_love_ah_yes_the_lady_sits_within_doing_nothing_while_the_man_is_the_one_who_strives_and_achieves_i_have_enough_of_that_in_my_daily_life_why_listen_to_poems_about_it|'Storming the Fortress of Love'? Ah, yes. The lady sits within doing nothing, while the man is the one who strives and achieves. I have enough of that in my daily life. Why listen to poems about it?
; str_storming_the_fortress_of_love_ah_yes_an_uplifting_tribute_to_the_separate_virtues_of_man_and_woman|'Storming the Fortress of Love'? Ah, yes. An uplifting tribute to the separate virtues of man and woman.
; str_storming_the_fortress_of_love_ah_yes_but_although_it_is_a_fine_tale_of_virtues_it_speaks_nothing_of_passion|'Storming the Fortress of Love'? Ah, yes. But although it is a fine tale of virtues, it speaks nothing of passion!
; str_storming_the_fortress_of_love_ah_a_sermon_dressed_up_as_a_love_poem_if_you_ask_me|'Storming the Fortress of Love'? Ah... A sermon dressed up as a love poem, if you ask me.
; str_a_hearts_desire_ah_such_a_beautiful_account_of_the_perfect_perfect_love_to_love_like_that_must_be_to_truly_know_rapture|'A Maidens Desire'? Ah, such a beautiful account of the perfect, perfect love! To love like that must be to truly know rapture!
; str_a_hearts_desire_silly_if_you_ask_me_if_the_poet_desires_a_lady_then_he_should_endeavor_to_win_her__and_not_dress_up_his_desire_with_a_pretense_of_piety|'A Maidens Desire'? Silly, if you ask me. If the poet desires a lady, then he should endeavor to win her -- and not dress up his desire with a pretense of piety!
; str_a_hearts_desire_hmm__it_is_an_interesting_exploration_of_earthly_and_divine_love_it_does_speak_of_the_spiritual_quest_which_brings_out_the_best_in_man_but_i_wonder_if_the_poet_has_not_confused_his_yearning_for_higher_things_with_his_baser_passions|'A Maidens Desire'? Hmm -- it is an interesting exploration of earthly and divine love. It does speak of the spiritual quest which brings out the best in man, but I wonder if the poet has not confused his yearning for higher things with his baser passions.
; str_a_hearts_desire_oh_yes__it_is_very_worthy_and_philosophical_but_if_i_am_to_listen_to_a_bard_strum_a_lute_for_three_hours_i_personally_prefer_there_to_be_a_bit_of_a_story|'A Maidens Desire'? Oh, yes -- it is very worthy and philosophical. But if I am to listen to a bard strum a lute for three hours, I personally prefer there to be a bit of a story.
; str_reg3_units_of_s4_for_reg5_guests_and_retinue|{reg3} units of {s4} for {reg5} guests and retinue
; str_reg3_units_of_spice_of_reg5_to_be_consumed|{reg3} units of spice of {reg5} to be consumed
; str_reg3_units_of_oil_of_reg5_to_be_consumed|{reg3} units of oil of {reg5} to be consumed
; str_of_food_which_must_come_before_everything_else_the_amount_is_s8|Of food, which must come before everything else, the amount is {s8}
; str_s9_and_the_variety_is_s8_|{s9} and the variety is {s8}. 
; str_s9_of_drink_which_guests_will_expect_in_great_abundance_the_amount_is_s8|{s9} Of drink, which guests will expect in great abundance, the amount is {s8}
; str_s9_of_spice_which_is_essential_to_demonstrate_that_we_spare_no_expense_as_hosts_the_amount_is_s8_|{s9} Of spice, which is essential to demonstrate that we spare no expense as hosts, the amount is {s8}. 
; str_s9_of_oil_which_we_shall_require_to_light_the_lamps_the_amount_is_s8|{s9} Of oil, which we shall require to light the lamps, the amount is {s8}.
; str_s9_overall_our_table_will_be_considered_s8|{s9} Overall, our table will be considered {s8}.
; str_rebel|rebel
; str_bandit|bandit
; str_relation_of_prisoner_with_captor_is_reg0|relation of prisoner with captor is {reg0}
; str_s5_suffers_attrition_reg3_x_s4|{s5} suffers attrition: {reg3} x {s4}
; str_s10_said_on_s1_s11__|{s10} said on {s1}: {s11}^^
; str_totalling_casualties_caused_during_mission|Totalling casualties caused during mission...
; str_removing_s4_from_s5|Removing {s4} from {s5}
; str_s4_joins_prison_break|{s4} joins prison break
; str_helper_is_spawned|helper is spawned.
; str_leaving_area_during_prison_break|Leaving area during prison break
; str_talk_to_the_trainer|Talk to the trainer.
; str_woman|woman
; str_man|man
; str_noble|noble
; str_common|common
; str_may_find_that_you_are_able_to_take_your_place_among_calradias_great_lords_relatively_quickly|may find that you are able to take your place among the great lords relatively quickly
; str_may_face_some_difficulties_establishing_yourself_as_an_equal_among_calradias_great_lords|may face some difficulties establishing yourself as an equal among the great lords
; str_may_face_great_difficulties_establishing_yourself_as_an_equal_among_calradias_great_lords|may face great difficulties establishing yourself as an equal among the great lords
; str_current_party_morale_is_reg5_current_party_morale_modifiers_are__base_morale__50_party_size_s2reg1_leadership_s3reg2_food_variety_s4reg3s5s6_recent_events_s7reg4_total__reg5___|Current party morale is {reg5}.^Current party morale modifiers are:^^Base morale:  +{reg6}^Party size: {s2}{reg1}^Leadership: {s3}{reg2}^Food variety: {s4}{reg3}{s5}{s6}^Recent events: {s7}{reg4}^TOTAL:  {reg5}^^^
; str_s1extra_morale_for_s9_troops__reg6_|{s1}Extra morale for {s9} troops : {reg6}^
; str_courtships_in_progress_|Courtships in progress:^
; str_s1_s2_relation_reg3_last_visit_reg4_days_ago|{s1}^{s2}, relation {reg3}, last visit {reg4} days ago
; str_s1__poems_known|{s1}^^Poems known:
; str_s1_storming_the_castle_of_love_allegoric|{s1}^Storming the Castle of Love (Allegoric)
; str_s1_kais_and_layali_tragic|{s1}^Kais and Layali (Tragic)
; str_s1_a_conversation_in_the_garden_comic|{s1}^A Conversation in the Garden (Comic)
; str_s1_helgered_and_kara_epic|{s1}^Helgered and Kara (Epic)
; str_s1_a_hearts_desire_mystic|{s1}^A Heart's Desire (Mystic)
; str_no_companions_in_service|No companions in service
; str_gathering_support|Gathering support
; str_expected_back_imminently|Expected back imminently
; str_expected_back_in_approximately_reg3_days|Expected back in approximately {reg3} days
; str_gathering_intelligence|Gathering intelligence
; str_diplomatic_embassy_to_s9|Diplomatic embassy to {s9}
; str_serving_as_minister|Serving as minister
; str_in_your_court_at_s9|In your court at {s9}
; str_under_arms|Under arms
; str_in_your_party|In your party
; str_attacking_enemy_army_near_s11|Attacking enemy army near {s11}
; str_holding_feast_at_s11|Holding feast at {s11}
; str_s9s10_current_state_s11_hours_at_current_state_reg3_current_strategic_thinking_s14_marshall_s12_since_the_last_offensive_ended_reg4_hours_since_the_decisive_event_reg10_hours_since_the_last_rest_reg9_hours_since_the_last_feast_ended_reg5_hours_percent_disgruntled_lords_reg7_percent_restless_lords_reg8__|{s9}{s10}^Current state: {s11}^Hours at current state: {reg3}^Current strategic thinking: {s14}^Marshall: {s12}^Since the last offensive ended: {reg4} hours^Since the decisive event: {reg10} hours^Since the last 18+ hour rest: {reg9} hours^Since the last feast ended: {reg5} hours^Percent disgruntled lords: {reg7}%^Percent restless lords: {reg8}%^^
; str__right_to_rule_reg12|^Right to rule: {reg12}.
; str_political_arguments_made_legality_reg3_rights_of_lords_reg4_unificationpeace_reg5_rights_of_commons_reg6_fief_pledges_reg7|Political arguments made:^Legality: {reg3}^Rights of lords: {reg4}^Unification/peace: {reg5}^Rights of commons: {reg6}^Fief pledges: {reg7}
; str_renown_reg2_honour_rating_reg3s12_friends_s8_enemies_s6_s9|Renown: {reg2}.^Honour rating: {reg3}.{s12}^Friends: {s8}.^Enemies: {s6}.^{s9}
; str_you_lie_stunned_for_several_minutes_then_stagger_to_your_feet_to_find_your_s10_standing_over_you_you_have_lost_the_duel|You lie stunned for several minutes, then stagger to your feet, to find your {s10} standing over you. You have lost the duel.
; str_s10_lies_in_the_arenas_dust_for_several_minutes_then_staggers_to_his_feet_you_have_won_the_duel|{s10} lies in the arena's dust for several minutes, then staggers to his feet. You have won the duel
; str__this_castle_is_temporarily_under_royal_control| This castle is temporarily under royal control.
; str__this_castle_does_not_seem_to_be_under_anyones_control| This castle does not seem to be under anyone's control.
; str__this_town_is_temporarily_under_royal_control| This town is temporarily under royal control.
; str__the_townspeople_seem_to_have_declared_their_independence| The townspeople seem to have declared their independence.
; str_to_your_husband_s11|to your husband, {s11}.
; str__you_see_the_banner_of_your_wifehusband_s7_over_the_castle_gate| You see the banner of your {wife/husband}, {s7}, over the castle gate.
; str__the_banner_of_your_wifehusband_s7_flies_over_the_town_gates| The banner of your {wife/husband}, {s7}, flies over the town gates.
; str__the_lord_is_currently_holding_a_feast_in_his_hall|^The lord is currently holding a feast in his hall.
; str__join_the_feast| (join the feast)
; str_belligerent_drunk_in_s4|Belligerent drunk in {s4}
; str_belligerent_drunk_not_found|Belligerent drunk not found
; str_roughlooking_character_in_s4|Rough-looking character in {s4}
; str_roughlooking_character_not_found|Rough-looking character not found
; str__however_you_have_sufficiently_distinguished_yourself_to_be_invited_to_attend_the_ongoing_feast_in_the_lords_castle|. However, you have sufficiently distinguished yourself to be invited to attend the ongoing feast in the lord's castle.
; str_s8_you_are_also_invited_to_attend_the_ongoing_feast_in_the_castle|{s8}. You are also invited to attend the ongoing feast in the castle.
; str_s11_unfortunately_s12_was_wounded_and_had_to_be_left_behind|{s11} Unfortunately, {s12} was wounded and had to be left behind.
; str_s11_also_s12_was_wounded_and_had_to_be_left_behind|{s11} Also, {s12} was wounded and had to be left behind.
; str_with_the_s10|with the {s10}
; str_outside_calradia|outside this world.
; str_you_have_been_indicted_for_treason_to_s7_your_properties_have_been_confiscated_and_you_would_be_well_advised_to_flee_for_your_life|You have been indicted for treason to {s7}. Your properties have been confiscated, and you would be well advised to flee for your life.
; str_by_order_of_s6_s4_of_the_s5_has_been_indicted_for_treason_the_lord_has_been_stripped_of_all_reg4herhis_properties_and_has_fled_for_reg4herhis_life_he_is_rumored_to_have_gone_into_exile_s11|By order of {s6}, {s4} of the {s5} has been indicted for treason. The lord has been stripped of all {reg4?her:his} properties, and has fled for {reg4?her:his} life. {reg4?She:He} is rumored to have gone into exile {s11}.
; str_local_notables_from_s1_a_village_claimed_by_the_s4_have_been_mistreated_by_their_overlords_from_the_s3_and_petition_s5_for_protection|local notables from {s1}, a village claimed by the {s4}, have been mistreated by their overlords from the {s3} and petition {s5} for protection
; str_villagers_from_s1_stole_some_cattle_from_s2|villagers from {s1} stole some cattle from {s2}
; str_villagers_from_s1_abducted_a_woman_from_a_prominent_family_in_s2_to_marry_one_of_their_boys|villagers from {s1} abducted a woman from a prominent family in {s2} to marry one of their boys
; str_villagers_from_s1_killed_some_farmers_from_s2_in_a_fight_over_the_diversion_of_a_stream|villagers from {s1} killed some farmers from {s2} in a fight over the diversion of a stream
; str_your_new_minister_|Your new minister 
; str_s10_is_your_new_minister_and_|{s10} is your new minister, and 
; str_due_to_the_fall_of_s10_your_court_has_been_relocated_to_s12|Due to the loss of {s10}, your court has been relocated to {s11}
; str_after_to_the_fall_of_s10_your_faithful_vassal_s9_has_invited_your_court_to_s11_|After to the loss of {s10}, your faithful vassal {s9} has invited your court to {s11} 
; str_after_to_the_fall_of_s11_your_court_has_nowhere_to_go|After the loss of {s11}, your court has nowhere to go
; str_s8_wishes_to_inform_you_that_the_lords_of_s9_will_be_gathering_for_a_feast_at_his_great_hall_in_s10_and_invites_you_to_be_part_of_this_august_assembly|{s8} wishes to inform you that the lords of the {s9} will be gathering for a feast at his great hall in {s10}, and invites you to be part of this exalted assembly.
; str_consult_with_s11_at_your_court_in_s12|Consult with {s11} at your court in {s12}
; str_as_brief_as_our_separation_has_been_the_longing_in_my_heart_to_see_you_has_made_it_seem_as_many_years|As brief as our separation has been, the longing in my heart to see you has made it seem as many years.
; str_although_it_has_only_been_a_short_time_since_your_departure_but_i_would_be_most_pleased_to_see_you_again|Although it has only been a short time since your departure, I would be most pleased to see you again.
; str_although_i_have_received_no_word_from_you_for_quite_some_time_i_am_sure_that_you_must_have_been_very_busy_and_that_your_failure_to_come_see_me_in_no_way_indicates_that_your_attentions_to_me_were_insincere_|Although I have received no word from you for quite some time, I am sure that you must have been very busy, and that your failure to come see me in no way indicates that your attentions to me were insincere.
; str_i_trust_that_you_have_comported_yourself_in_a_manner_becoming_a_gentleman_during_our_long_separation_|I trust that you have comported yourself in a manner becoming a {gentleman/lady} during our long separation.
; str_it_has_been_many_days_since_you_came_and_i_would_very_much_like_to_see_you_again|It has been many days since you came, and I would very much like to see you again.
; str__you_should_ask_my_s11_s16s_permission_but_i_have_no_reason_to_believe_that_he_will_prevent_you_from_coming_to_see_me| You should ask my {s11} {s16}'s permission, but I have no reason to believe that he will prevent you from coming to see me.
