dlga_start:lco_conversation_end|Ha! Vous êtes là!
dlga_trainer_explain_defense_2:trainer_explain_defense_3|Il est bien plus aisé de se défendre lorsque vous êtes équipé d'un bouclier. Il vous suffit de parer les coups ennemis de votre bouclier. [Maintenez le bouton droit de la souris enfoncé pour vous protéger avec votre bouclier.] Ainsi, vous pourrez bloquer toutes les attaques de front. Cependant, vous restez exposés aux ennemis vous attaquant par derrière ou par le côté. 
dlga_trainer_explain_defense_3:trainer_explain_defense_4|Et si je n'ai pas de bouclier ? 
dlga_trainer_explain_defense_4:trainer_combat_pretalk|Alors, vous devrez utiliser votre arme pour parer les coups. C'est un peu plus difficile que de se servir d'un bouclier. Si vous tentez de parer avec votre arme, vous ne pourrez bloquer que certaines attaques. Vous devrez choisir entre vous préparer à un coup vertical, horizontal ou à un coup d'estoc. Vous devez donc observer votre ennemi, et ne préparer votre parade que lorsqu'il se prépare à frapper. De cette façon, vous pourrez parer correctement son attaque. Si vous essayez de parer avant que votre ennemi n'ait réellement commencé à attaquer, celui-ci aura beau jeu de trouver une faille dans votre garde, et de vous toucher. 
dlga_trainer_explain_attack:trainer_explain_attack_2|Bonne question. L'attaque est la meilleure défense, c'est bien connu. Une tactique qu'affectionnent beaucoup de guerriers est celle consistant à préparer à l'avance son coup, et à attendre le bon moment pour frapper. [Vous pouvez vous préparer à frapper en maintenant enfoncé le bouton gauche de la souris.] 
dlga_trainer_explain_attack_2:trainer_explain_attack_3|Cela me semble être une bonne technique. 
dlga_trainer_explain_attack_3:trainer_explain_attack_4|C'est effectivement une bonne technique, mais n'oubliez pas que celui d'en face peut voir ce que vous faites, et peut très bien se préparer à votre coup. Si cela arrive, vous devrez cesser votre mouvement et frapper rapidement d'une autre façon [Vous pouvez annuler votre attaque en cliquant sur le bouton droit de la souris]. 
dlga_trainer_explain_attack_4:trainer_explain_attack_5|Si mon adversaire se prépare à mon attaque, je dois cesser mon mouvement et attaquer d'une autre façon. 
dlga_trainer_explain_attack_5:trainer_combat_pretalk|Oui. Savoir choisir rapidement la meilleure façon d'attaquer en fonction de la situation est très important. Vous pouvez frapper de quatre manières différentes : de taille verticale, de taille de gauche à droite, de taille de droite à gauche et d'estoc. Choisissez judicieusement. [Pour contrôler la direction de votre coup, déplacez la souris dans la direction souhaitée, et cliquez sur le bouton gauche de la souris]. 
dlga_trainer_explain_horseback:trainer_combat_pretalk|Très bonne question. Le cheval est parfois l'arme la plus efficace. Il vous confère vitesse, puissance, hauteur et initiative. Nombre d'armes deviennent, maniées par un cavalier, encore plus redoutables. Cependant vous devrez faire attention aux cavaliers ennemis, en particulier ceux qui tiennent leurs lances à l'horizontale : cette façon d'agir peut défaire le meilleur des combattants d'une seule charge. [Pour tenir votre lance à l'horizontale avec les réglages par défaut, utilisez une lance ou une arme semblable, et faites accélérer votre cheval sans toucher à la souris. Une fois une certaine vitesse atteinte, la lance se baissera d'elle-même. Visez alors vos ennemis.] 
dlga_trainer_practice_1:trainer_practice_1|L'apprentissage de mes élèves se fait en quatre étapes. Pour passer à l'étape suivante, il faut gagner trois combats d'affilée. 
dlga_trainer_practice_1:novicemaster_are_you_ready|Vous avez êtes passé par les quatre étapes de mon entraînement. Mais si vous le souhaitez, vous pouvez continuer à vous entraîner. Êtes-vous prêt ? 
dlga_trainer_practice_1:trainer_practice_1.1|Vous vous débrouillez bien. Par cette victoire, vous passez à l'étape suivante. Désormais, vos adversaires seront de véritables combattants, pas de la racaille ramassée dans les rues. Redoublez d'efforts. 
dlga_trainer_practice_1:trainer_practice_1.2|Vous vous débrouillez bien. Bienvenue à la troisième étape de l'entraînement. Désormais, vos adversaires seront des vétérans, des soldats et des habitués des arènes. Ces gars connaissent quelques passes d'armes plutôt efficaces, ne baissez pas votre garde. 
dlga_trainer_practice_1:trainer_practice_1.3|Vous avez le cœur d'un champion, et le bras qui va avec. Désormais, vous affronterez les meilleurs. La crème des crèmes, l'élite de ceux que j'ai jamais formés. Si vous parvenez à en battre trois d'affilée, vous rejoindrez leurs rangs. 
dlga_trainer_practice_1:novicemaster_finish_training|Cela me fait chaud au cœur de voir qu'encore aujourd'hui nous avons des guerriers prometteurs. Vous avez passé chaque étape de mon entraînement. Vous pouvez désormais vous vanter d'avoir été entraîné par le maître du camp d'entraînement. 
dlga_novicemaster_finish_training:novicemaster_finish_training_2|Merci, maître. 
dlga_novicemaster_finish_training_2:close_window|Je vous souhaite bonne chance pour les tournois. Et n'oubliez pas, si vous voulez affiner votre technique, n'hésitez pas à revenir. 
dlga_trainer_practice_1:novicemaster_are_you_ready.1|Vous allez maintenant affronter un {s9}. Vous devez encore gagner {reg8} combats pour passer à l'étape suivante. Êtes-vous prêt ? 
dlga_novicemaster_are_you_ready:novicemaster_ready_to_fight|Oui, je le suis. 
dlga_novicemaster_ready_to_fight:close_window|Alors allez-y. Bonne chance. 
dlga_novicemaster_are_you_ready:novicemaster_not_ready|Un instant, je ne suis pas encore tout à fait prêt. 
dlga_novicemaster_not_ready:close_window|Hé, vous n'y arriverez jamais si vous ne vous entraînez pas.
dlga_start:septon_talk|Que la paix du soit avec vous. Je suis un Septon, un serviteur de la Seven.
dlga_septon_pretalk:septon_talk|Que le Dieu de la guerre vous protège, {playername}. Que peut donc, son humble serviteur, pour vous?
dlga_septon_talk:septon_angry|Les dieux ne sont rien pour moi. Comment pouvez-vous dire qu'ils sont bons, alors qu'ils vous laissent crever dans la misère de ce bas monde?
dlga_septon_angry:close_window|Vous ... Vous ... Vous êtes un démon, {playername}. Chaque homme juste dans le Royaume des Seven vous combattra.
dlga_septon_talk:septon_ayuda|Je ne suis qu'un pécheur, Septon, et j'ai besoin de votre aide.
dlga_septon_talk:septon_ayuda.1|Je ne fais pas parti du Seven, mais je voudrais bien en savoir plus sur la Foi.
dlga_septon_talk:close_window|J'ai autre chose à faire.
dlga_septon_ayuda:septon_ayuda2|Oh, hé bien. Je vais prier pour vous {playername}, pour que notre Père pardonne vos péchés. Si vous le souhaitez, je peux prier pour vous et tous les hommes qui vous accompagnent, et ma congrégation se joindre à moi, ainsi le Dieu de la guerre; le "Guerrier" pourra mieux nous entendre. Mais le Guerrier vous entendra sûrement encore mieux lorsque vous aurez fait un petit don à la Foi. Par contre, si vous souhaitez améliorer votre réputation dans cette ville, afin d'être connu comme un homme pieux et juste, vous pouvez faire un don important à la Seven locale. La population de {s60} fera sûrement l'éloge de votre nom.
dlga_septon_ayuda2:septon_pretalk|Merci. J'ai beaucoup péché, aussi je vais faire un don de 300 dradons d'or.
dlga_septon_ayuda2:septon_pretalk.1|Merci, Septon. Je veux être aimé de la population de {s60}. Je vais faire un don de 2000 dradons d'or.
dlga_septon_ayuda2:septon_angry|Est-ce que vous vendez du pardon?
dlga_septon_ayuda2:septon_pretalk.2|Maintenant, rien.
dlga_start:high_septon_talk|Que la paix soit avec vous.. Je suis le Grand Septon, et je parle au nom de la Seven.
dlga_high_septon_pretalk:high_septon_talk|Que la Sainte Mère vous bénisse, {playername}. Que puis-je faire pour vous?
dlga_high_septon_talk:high_septon_angry|Vos dieux sont cruels. Les dieux qui sont responsables de toute cette misère n'auront jamais mon âme.
dlga_high_septon_angry:close_window|Vous ne savez pas de quoi vous parlez, {playername}. Si vous ne changez pas vos paroles et vos actes, votre âme sera toujours damnée.
dlga_high_septon_talk:high_septon_ayuda|Je ne suis qu'un pécheur, Votre Sainteté, et j'ai besoin de votre pardon.
; dlga_high_septon_talk:high_septon_ayuda.1|I do not follow the Faith, but I would like to learn of its mysteries.
dlga_high_septon_talk:close_window|J'ai autre chose à faire.
dlga_high_septon_ayuda:high_septon_ayuda2|Je prierai pour vous {playername}, afin que notre Père pardonne vos péchés et que notre Mère vous accorde la paix. Si vous le souhaitez, je peux demander à la confrérie des Septs à Port Réal de prier pour vous et tous les hommes qui vous sont fidèles, même la cour va se joindre à moi, afin que notre Père puisse mieux nous entendre. Mais il va sûrement mieux vous entendre si vous faites un petit don à la Foi. Ou bien, si vous souhaitez améliorer votre réputation sur cette terre, et être connu comme un homme pieux et juste, vous pourriez faire un don important à la Grande Sept de Baelor. La population de {s60} fera sûrement l'éloge de votre nom et divulguera votre grande générosité dans toute la campagne.
dlga_high_septon_ayuda2:high_septon_pretalk|Je vous remercie. J'ai péché et le père doit me pardonner - Je vais faire un don de 5000 dradons d'or.
dlga_high_septon_ayuda2:high_septon_pretalk.1|Merci, Grand Septon. Je veux que la population de {s60} m'aime. Je vais faire un don de 10000 dradons d'or.
dlga_high_septon_ayuda2:high_septon_angry|Etes-vous en train de vendre du pardon?
dlga_high_septon_ayuda2:high_septon_pretalk.2|A présent ça n'a pas d'importance.
dlga_start:drowned_god_talk|Je suis un serviteur du Dieu Drowned.
dlga_drowned_god_pretalk:drowned_god_talk|Ce qui est mort ne peut plus jamais mourir, mais peut se lever à nouveau, plus fort et encore plus fort.
dlga_drowned_god_talk:drowned_god_angry|Les dieux ne représentent rien pour moi. Comment pouvez-vous les aimer, quand ils vous laissent souffrir dans ce monde misérable?
dlga_drowned_god_angry:close_window|Le Dieu Drowned ne se soucie pas de vos doutes, et moi non plus
dlga_drowned_god_talk:drowned_god_ayuda|Ce qui est mort ne peut plus jamais mourir, mais peut se lever à nouveau, plus fort et encore plus fort.
dlga_drowned_god_talk:drowned_god_ayuda.1|Je n'ai pas été noyé dans les eaux de Celui qui demeure sous les vagues, mais peut-être vous pouvez m'instruire à son propos.
dlga_drowned_god_talk:close_window|J'ai autre chose à faire.
dlga_drowned_god_ayuda:drowned_god_ayuda2|Le Dieu Drowned peut entendre vos prières, si les hommes Drowned chantent votre nom près de la mer. Si vous le souhaitez, je peux faire en sorte qu'ils fassent ainsi. Mais attention, le Dieu Drowned n'est pas un de ces dieux inertes du continent. Si vous souhaitez améliorer votre réputation auprès de la Ironborn, afin d'être connu comme un homme pieux et vertueux, permettez-moi de vous noyer dans les eaux.
dlga_drowned_god_ayuda2:drowned_god_pretalk|Je vous remercie. Laissez le nom {playername} résonner dans les couloirs larmoyants des vagues.
dlga_drowned_god_ayuda2:drowned_god_pretalk.1|Oui. Laissez-moi me noyer dans les flots, comme ça je pourrais augmenter progressivement ma force...
dlga_drowned_god_ayuda2:drowned_god_pretalk.2|Non, pas pour le moment.
dlga_start:aeron_greyjoy_talk|Je suis Aeron Greyjoy, une serviteur du Dieu Drowned.
dlga_aeron_greyjoy_pretalk:aeron_greyjoy_talk|Le Dieu Drowned est le seul dieu. Les dieux des continents ne sont que des mythes et des histoires de fous.
dlga_aeron_greyjoy_talk:aeron_greyjoy_angry|Les dieux n'existent pas. Comment pouvez-vous les admirer alors qu'ils vous laissent pourrir dans ce monde misérable?
dlga_aeron_greyjoy_angry:close_window|Vous êtes un homme impie. Votre doute sera puni lorsque le Dieu Drowned jugera bon de vous détruire.
dlga_aeron_greyjoy_talk:aeron_greyjoy_ayuda|Ce qui est mort ne peut jamais mourir, mais devient, de plus en plus fort.
dlga_aeron_greyjoy_talk:aeron_greyjoy_ayuda.1|Je n'ai pas été noyé dans les eaux de Celui qui demeure sous les vagues, mais peut-être pouvez vous me renseigner à son sujet.
dlga_aeron_greyjoy_talk:close_window|J'ai autre chose à faire.
dlga_aeron_greyjoy_ayuda:aeron_greyjoy_ayuda2|Contrairement aux Septons du continent, je n'ai pas de temps à perdre pour les petits litiges ou les questions stupides. Si vous le souhaitez, je vais vous emmener dans les eaux du domaine des dieux Drowned. Ou si vous voulez améliorer votre réputation auprès de la Ironborn, et ainsi être connu comme homme de Dieu, je vais vous noyer dans les eaux de Pyke.
dlga_aeron_greyjoy_ayuda2:aeron_greyjoy_pretalk|Merci. Que le Dieu Drowned connaisse ma dévotion.
dlga_aeron_greyjoy_ayuda2:aeron_greyjoy_pretalk.1|Celui qui est mort ne meurt jamais.
dlga_aeron_greyjoy_ayuda2:aeron_greyjoy_pretalk.2|Pas pour le moment.
dlga_start:red_priest_talk|La nuit est sombre et pleine de monstres.
dlga_red_priest_pretalk:red_priest_talk|Il n'y a pas d'autre dieu que R'hllor et les autres, leurs noms ne doivent pas être prononcés.
dlga_red_priest_talk:red_priest_angry|Les dieux n'existent pas. Comment pouvez-vous les admirer alors qu'ils vous laissent pourrir dans ce monde misérable?
dlga_red_priest_angry:close_window|Nous devons tous faire un choix. Homme ou femme, seigneur ou esclave, jeune ou vieux, et ce choix est le même pour tous. Ou la lumière ou l'Obscurité.
dlga_red_priest_talk:red_priest_ayuda|Nous devons prier pour que la lumière puisse  vaincre les ténèbres.
dlga_red_priest_talk:red_priest_ayuda.1|Je ne souhaite pas suivre R'hllor, mais j'aimerai bien en savoir davantage à son sujet.
dlga_red_priest_talk:close_window|J'ai des affaires plus importantes à faire.
dlga_red_priest_ayuda:red_priest_ayuda2|Oh, bien. Je vais prier pour vous {playername}, dans le combat à venir contre l'Autre, nous aurons sûrement besoin de toute âme charitable. Si c'est votre souhait, je peux prier pour vous et tous les hommes qui vous accompagnent, et mes compagnons se joindront à moi, pour que le Seigneur de la Lumière puisse mieux nous entendre. Ou si vous voulez améliorer votre réputation dans cette ville, et ainsi être connu comme un serviteur de la Lumière, vous pourriez faire une importante donation au temple local. La population de {s60} fera sûrement l'éloge de votre nom.
dlga_red_priest_ayuda2:red_priest_pretalk|Merci. Que le Seigneur de la Lumière nous libère de l'Obscurité.
dlga_red_priest_ayuda2:red_priest_pretalk.1|Je veux que la population de {s60} m'aime. je vais faire un don de 2000 dradons d'or.
dlga_red_priest_ayuda2:red_priest_pretalk.2|Non, pas en ce moment.
dlga_start:benerro_talk|Que le Seigneur de la Lumière soit loué. Je suis Benerro, le grand prêtre de R'hllor.
dlga_benerro_pretalk:benerro_talk|Que R'hllor vous protège, {playername}. Je suis son humble serviteur, que puis-je pour vous?
dlga_benerro_talk:benerro_angry|Les dieux n'existent pas. Comment pouvez-vous les admirer alors qu'ils vous laissent pourrir dans ce monde misérable?
dlga_benerro_angry:close_window|Nous devons tous faire un choix. Homme ou femme, seigneur ou esclave, jeune ou vieux, et ce choix est le même pour tous. Ou la lumière ou l'Obscurité.
dlga_benerro_talk:benerro_ayuda|Nous devons prier pour que la lumière puisse  vaincre les ténèbres.
dlga_benerro_talk:benerro_ayuda.1|Je ne souhaite pas suivre R'hllor, mais j'aimerai bien en savoir davantage à son sujet.
dlga_benerro_talk:close_window|J'ai autre chose à faire.
dlga_benerro_ayuda:benerro_ayuda2|La bataille finale contre les ténèbres se rapproche. Dans l'Est, Azor Ahai renaît, et les serviteurs de l'Autre s'assembleront contre elle. Le jour viendra où elle aura besoin de notre aide, et si vous voulez l'aider, faites un don au temple ici à Volantis. Ou si vous voulez améliorer votre réputation dans cette ville, afin d'être connu comme un serviteur de la lumière et un adepte de Azor Ahai, vous pouvez faire une importante donation au temple. La population de {s60} fera sûrement l'éloge de votre nom.
dlga_benerro_ayuda2:benerro_pretalk|La nuit est obscure et remplie de démons.
dlga_benerro_ayuda2:benerro_pretalk.1|Merci, Benerro. Je veux que la population de {s60} m'aime. Je vais faire un don de 10000 dradons d'or.
dlga_benerro_ayuda2:benerro_angry|Etes-vous en train de vendre du pardon?
dlga_benerro_ayuda2:benerro_pretalk.2|Pas pour le moment.
dlga_start:sandor_master_talk|Surveillez vos faits et gestes à l'intérieur de ce château, je ne voudrais pas avoir à vous tuer.
dlga_sandor_master_talk:sandor_master_customize|Pouvez-vous me raconter l'histoire de la famille Clegane?
dlga_sandor_master_customize:sandor_master_talk|Il n'y a pas grand chose à dire. Mon grand-père a sauvé le père du Seigneur Tywins attaqué par une lionne, il a obtenu grâce à sa bravoure un donjon et son fils, mon père, a été engagé comme écuyer. Gregor est à la tête de la maison maintenant.
dlga_sandor_master_talk:close_window|Adieu.
; dlga_start:close_window.172|I have nothing more to say.
dlga_start:varys_introduce_1|Bonjour, mon ami. Je suis Varys, le Maître des Chuchoteurs.
dlga_varys_introduce_1:varys_introduce_2|Salutations.
dlga_varys_introduce_2:varys_master_talk|Peut-être serez-vous en mesure de convaincre le Seigneur de ces lieux, sire Littlefinger, que la seule chose sensée à faire en période de tempêtes est de maintenir l'illusion de la sécurité et de la stabilité, même lorsque votre bateau coule.
dlga_varys_master_talk:varys_master_customize|Quel est le rôle du Maître des Chuchoteurs?
dlga_varys_master_customize:varys_master_talk|Oh, pas grand-chose. Je protège surtout le roi et j'informe le petit conseil des événements qui se passent dans les Villes Libres, et je me procure diverses... petites informations... liées aux événements qui se déroulent dans le royaume.
dlga_varys_master_talk:close_window|Adieu.
; dlga_start:close_window.173|The king is busy at the moment, and so the small council deals with the minor matters of the realm.
dlga_start:littlefinger_introduce_1|N'est-ce pas une journée splendide à la cour?
dlga_littlefinger_introduce_1:littlefinger_introduce_2|Je suppose...
dlga_littlefinger_introduce_2:littlefinger_introduce_3|Toutes ces personnes présentent sont intéressantes, et en plus de cela, dame Stokeworth est sûr de m'inviter à un autre dîner. Je vois des tartes, des lamproies et des porcs succulents dans mon futur proche.
dlga_littlefinger_introduce_3:littlefinger_master_talk|Oui, c'est un jour plein de promesses.
dlga_littlefinger_master_talk:littlefinger_master_customize|Pouvez-vous me parler de votre famille?
dlga_littlefinger_master_customize:littlefinger_master_talk|Ah! Le fier héritage de la maison Baelish. Non, je ne préfère pas.
dlga_littlefinger_master_talk:close_window|Adieu.
; dlga_start:close_window.174|Chaos is a ladder, wouldn't you say? Many who try to climb it fail, and never get to try again. The fall breaks them. And some, given a chance to climb, they refuse. They cling to the realm, or the gods, or love. Illusions. Only the ladder is real. The climb is all there is. Or so some might say...
dlga_start:pycelle_introduce_1|Je vous salue et vous souhaite la bienvenue. Je suis le Grand Maître Pycelle.
dlga_pycelle_introduce_1:pycelle_introduce_2|Bonjour. Quel est le rôle du Grand Maître Pycelle?
dlga_pycelle_introduce_2:pycelle_master_talk|Je conseille le roi et gère le petit conseil étant donné mon expérience en la matière, et je suis également responsable de la santé de la famille royale.
dlga_pycelle_master_talk:pycelle_master_customize|Est-il vrai que vous avez servi les rois Targaryen?
dlga_pycelle_master_customize:close_window|De quoi sagit-il?
dlga_pycelle_master_talk:pycelle_master_customize2|Ne vous ai-je pas entendu convaincre le roi Aerys de laisser entrer comme hôte le seigneur Tywins? Pas très digne de confiance, n'est-ce pas?
dlga_pycelle_master_customize2:close_window|Bah! Vous n'en avez pas saisi la raison! Le roi Robert était le véritable héritier du Trône de Fer!
; dlga_start:close_window.175|I'm a busy man, I do not have time for you.
dlga_start:lancel_introduce_1|Oui?
dlga_lancel_introduce_1:lancel_introduce_2|Bonjour. Qui êtes-vous?
dlga_lancel_introduce_2:lancel_master_talk|Je suis Sire Lancel Lannister, un chevalier de renommée et je n'ai pas de temps à vous consacrer!
dlga_lancel_master_talk:lancel_master_customize|Pouvez-vous me parler de la famille Lannister.
dlga_lancel_master_customize:lancel_master_talk|Heu, je veux bien, oui. Nous sommes les descendants de Lann le Futé, l'illustre guerrier de l'Epoque des Légendes. Il a remporté "Casterly Rock" en battant la famille Casterly, et nous les Lannister lui avons donné notre nom à ce Rocher, depuis il appartient à notre maison. Avant la conquête, nous étions les Rois de ce Rocher et cela depuis l'époque des Aegons, les chefs de la maison Lannister ont régnés en tant que  Seigneurs de Paramounts des Westerlands et étaient les gardiens de l'Ouest.
dlga_lancel_master_talk:close_window|Adieu.
; dlga_start:close_window.176|I have important matters that require my attention.
dlga_start:jalabhar_introduce_1|Je suis Jalabhar Xho, Prince légitime de la Vallée des Fleurs Rouges.
dlga_jalabhar_introduce_1:jalabhar_introduce_2|Bonjour, où se trouve la Vallée des Fleurs Rouges?
dlga_jalabhar_introduce_2:jalabhar_introduce_3|Ah, elle se trouve dans les îles d'Eté. Le nom est dérivé des grandes fleurs rouges qui couvrent la terre.
dlga_jalabhar_introduce_3:jalabhar_introduce_4|Je vois. Que faites-vous ici, dans Westeros?
dlga_jalabhar_introduce_4:jalabhar_introduce_5|Mon maudit cousin, Xhondo Xho, a incité les paysans à se retourner contre moi et j'ai dû fuir démuni de tout, j'ai juste pu récupérer ma galère et la trésorerie! Je suis tout à fait convaincu qu'il a utilisé des voyous, ou autre gredins, voire de la sorcellerie.
dlga_jalabhar_introduce_5:jalabhar_master_talk|La sorcellerie noire... oui, j'en suis sur....
dlga_jalabhar_master_talk:jalabhar_master_customize|Pouvez-vous me raconter l'histoire des îles d'Eté?
dlga_jalabhar_master_customize:jalabhar_master_talk|Pourquoi pas. Au cours d'un violent orage, un raz de marée énorme a frappé les îles, jamais elles n'avaient connu un tel cataclysme auparavant, à l'exception de lointaines petites légendes et des histoires idiotes.
dlga_jalabhar_master_talk:close_window|Adieu.
; dlga_start:close_window.177|I'm afraid I have to get going.
dlga_start:aron_santagar_introduce_1|Bonjour. Je suis Ser Aron Santagar.
dlga_aron_santagar_introduce_1:aron_santagar_introduce_2|Bonjour. Que faites-vous à la cour?
dlga_aron_santagar_introduce_2:aron_santagar_introduce_3|Je suis le Maître d'armes, ici, dans la Red Keep.
dlga_aron_santagar_introduce_3:aron_santagar_introduce_4|Je vois, ainsi vous êtes chargé d'entraîner au combat le Roi Joffreys?
dlga_aron_santagar_introduce_4:aron_santagar_master_talk|C'est cela oui, bien que le roi ne soit pas venu me voir depuis son accession au trône. Je suis sûr que son temps est pris par la gestion de questions importantes de l'état...
dlga_aron_santagar_master_talk:aron_santagar_master_customize|Pouvez-vous me raconter l'histoire de la Red Keep?
dlga_aron_santagar_master_customize:aron_santagar_master_talk|Quand Aegon le Conquérant a débarqué sur les côtes de Westeros, il a construit une forteresse en bois et en terre sur la colline qui porte aujourd'hui son nom. Après la Conquête, lors que Port Real a été déclarée comme nouvelle capitale, il a jeté les bases du Red Keep, siège de la Maison Targaryen, mais c'est sous le règne de son fils, Maegor le Cruel, que le château a finalement été terminé. Une fois le travail terminé Maegor a fait exécuter tous les maçons et les constructeurs, de sorte que seuls les rois Targaryen pouvaient connaître les secrets du château.
dlga_aron_santagar_master_talk:close_window|Adieu.
; dlga_start:close_window.178|I have to go oversee the training of some of our new squires, excuse me.
dlga_start:tommen_introduce_2|Bonjour!
dlga_tommen_introduce_2:close_window|Si j'étais le roi, j'interdirai les betteraves!
; dlga_start:close_window.179|I have to go! That black cat is skulking around here somewhere!
; dlga_start:close_window.180|Mother says a princess has to be courteous, but also aware that she is above everyone else
; dlga_start:close_window.181|I have to go and find Tommen. He's talking about that black cat again, I have to make sure he does not hurt himself trying to catch it.
dlga_start:sansa_introduce_1|Oui?
dlga_sansa_introduce_1:sansa_introduce_2|Ma dame, puis-je en savoir plus sur vous?
dlga_sansa_introduce_2:close_window|Je suis Sansa Stark, la fille de Lord Eddards.
; dlga_start:close_window.182|Excuse me.
dlga_start:jor_the_keeper_introduce_1|Oui?
dlga_jor_the_keeper_introduce_1:jor_the_keeper_introduce_2|Quel est cet endroit?
dlga_jor_the_keeper_introduce_2:jor_the_keeper_master_talk|C'est Nagga's Hill, le site de Grey King's Hall.
dlga_jor_the_keeper_master_talk:jor_the_keeper_master_customize|Pouvez-vous m'en dire plus sur Nagga's Hill?
dlga_jor_the_keeper_master_customize:jor_the_keeper_master_talk|Selon la légende Fer-Nés, Nagga a été le premier dragon de mer, capable de se nourrir de krakens et de léviathans, et de noyer les îles lorsqu'il est en colère. Le Roi Gris, aidé par le Dieu Drowned, a réussi à le tuer sur les côtes de l'île du Vieux Wyk et a construit sa salle de trône avec ses os. Ses mâchoires sont devenus son trône et ses dents ont fait sa couronne. Il chauffe sa salle avec son feu de vie. Toutefois, quand le Roi Gris est mort, le Dieu des Tornades a noyé son feu et la mer a pris son trône. Seuls ses os qui sont, en fait, les piliers et les poutres, restent.
dlga_jor_the_keeper_master_talk:close_window|Au revoir.
; dlga_start:close_window.183|Excuse me, {playername}, I have to drown a man.
dlga_start:maege_mormont_introduce_1|Oui?
dlga_maege_mormont_introduce_1:maege_mormont_introduce_2|Ma dame, que pouvez-vous me dire à propos de l'île aux Ours?
dlga_maege_mormont_introduce_2:maege_mormont_master_talk|Nos terres sont principalement habités par des petits fermiers. Nous avons beaucoup de pins et la mer est pleine de poissons et de phoques. Et les forêts sont pleines de grands, ours noirs, hé.
dlga_maege_mormont_master_talk:maege_mormont_master_customize|Que pouvez-vous me dire à propos de la Maison Mormont?
dlga_maege_mormont_master_customize:maege_mormont_master_talk|L'île aux Ours était gouvernée par la Maison Woodfoot avant sa conquête par les fer-nés. La Maison Hoare, qui a gouverné les Iles de Fer à l'époque, a ajouté un arbre vert dans le deuxième quart de leur sceau comme une référence à leur possession de l'île aux Ours. L'île est retournée au Nord sous le règne de Rodrik Stark, soi-disant en raison d'un combat perdu. Rodrik a ensuite donné l'île à la Maison Mormont. Ces derniers jours, les Fer-nés et les sauvageons de la Grève glacée, ont fait des raids contre l'île aux Ours pendant que les hommes pêchaient en mer. Les femmes étaient seules pour défendre l'île, tandis que les hommes étaient partis. En conséquence, nous, les femmes avons toujours appris à gérer à la fois la hache et les bébés.
dlga_maege_mormont_master_talk:close_window|Adieu, ma dame.
; dlga_start:close_window.184|Excuse me, {playername}.
dlga_start:lyra_mormont_introduce_1|Oui?
dlga_lyra_mormont_introduce_1:lyra_mormont_introduce_2|Ma dame, puis-je en savoir plus sur vous?
dlga_lyra_mormont_introduce_2:close_window|Je suis Lyra Mormont. Avez-vous entendu parler des géants? Lyanna m'a beaucoup raconté d'histoire à leur sujet!
; dlga_start:close_window.185|I have to go, and practice with my bow!
dlga_start:jorelle_mormont_introduce_1|Oui?
dlga_jorelle_mormont_introduce_1:jorelle_mormont_introduce_2|Ma dame, puis-je en savoir plus sur vous?
dlga_jorelle_mormont_introduce_2:close_window|Je suis Jorelle! Lyanna nous a parlé des géants, et a chanté à leur sujet!
; dlga_start:close_window.186|I have to go! The guards said they saw a bear skulking along outside the battlements!
dlga_start:lyanna_mormont_introduce_1|Oui?
dlga_lyanna_mormont_introduce_1:lyanna_mormont_introduce_2|Salutations, ma dame. Puis-je en savoir plus sur vous?
dlga_lyanna_mormont_introduce_2:lyanna_mormont_master_talk|Je suis Lyanna Stark. Avez-vous déjà été à Winterfell? Maman dit qu'elle pourrait nous y emmener un jour.
dlga_lyanna_mormont_master_talk:lyanna_mormont_master_customize|Pouvez-vous me parler des géants?
dlga_lyanna_mormont_master_customize:lyanna_mormont_master_talk|Une nuit j'en ai rêvé. Un chant s'élevait d'un arbre, et puis j'ai entendu un murmure dans le vent. Il disait: «Les géants ont presque disparu ainsi, ceux qui étaient notre fléau et nos frères». Mère dit que c'était juste un rêve, mais je rêve souvent des arbres, et dans mes rêves, chacun d'eux a un corbeau sur lui.
dlga_lyanna_mormont_master_talk:close_window|Merci pour votre temps, ma dame.
; dlga_start:close_window.187|I'm afraid I have to get going. Jorelle and I are going to see the bear.
dlga_start:edgar_the_seal_introduce_1|Oui?
dlga_edgar_the_seal_introduce_1:edgar_the_seal_introduce_2|Que faites-vous?
dlga_edgar_the_seal_introduce_2:close_window|Je suis de garde, ça ne se voit pas?
; dlga_start:close_window.188|We're not allowed to talk while on guard.
dlga_start:benfred_the_guard_introduce_1|Oui?
dlga_benfred_the_guard_introduce_1:benfred_the_guard_introduce_2|Que faites-vous?
dlga_benfred_the_guard_introduce_2:close_window|Je suis de garde. C'est généralement ennuyeux, mais nous avons vu un énorme ours noir, il ya quelques jours. Jorelle a décidé de l'appeler Jeor.
; dlga_start:close_window.189|We're not allowed to talk while on guard.
dlga_start:rognok_the_guard_introduce_1|Oui?
dlga_rognok_the_guard_introduce_1:rognok_the_guard_introduce_2|Que faites-vous?
dlga_rognok_the_guard_introduce_2:close_window|Je suis de garde. J'en ai plus pour longtemps, j'espère.
; dlga_start:close_window.190|We're not allowed to talk while on guard.
; dlga_start:close_window.191|Maester Pylos says I have to learn my letters, because I'll sit on the Iron Throne one day.
; dlga_start:close_window.192|Patches and I are going to look for amber on the beach!
