trp_multiplayer_profile_troop_male|Profil multi-joueurs homme
; trp_kingdom_13_lady_7|Lyria Ryndoon
; trp_kingdom_13_lady_7_pl|Lyria Ryndoon
; trp_kingdom_13_lady_8|Tyanna Ryndoon
; trp_kingdom_13_lady_8_pl|Tyanna Ryndoon
; trp_kingdom_13_lady_9|Alya Ryndoon
; trp_kingdom_13_lady_9_pl|Alya Ryndoon
; trp_kingdom_13_lady_10|Lyessa Ryndoon
; trp_kingdom_13_lady_10_pl|Lyessa Ryndoon
; trp_kingdom_14_lady_1|Belaria of Norvos
; trp_kingdom_14_lady_1_pl|Belaria of Norvos
trp_kingdom_14_lady_2|Shyma Vaelaros
trp_kingdom_14_lady_2_pl|Shyma Vaelaros
; trp_kingdom_14_lady_3|Lymeria of Dorne
; trp_kingdom_14_lady_3_pl|Lymeria of Dorne
; trp_kingdom_14_lady_4|Aelia Drahar
; trp_kingdom_14_lady_4_pl|Aelia Drahar
; trp_kingdom_14_lady_5|Aelie Drahar
; trp_kingdom_14_lady_5_pl|Aelie Drahar
; trp_kingdom_14_lady_6|Tyanna Drahar
; trp_kingdom_14_lady_6_pl|Tyanna Drahar
; trp_kingdom_14_lady_7|Seraria of Pentos
; trp_kingdom_14_lady_7_pl|Seraria of Pentos
; trp_kingdom_14_lady_8|Voleria Alayris
; trp_kingdom_14_lady_8_pl|Voleria Alayris
trp_kingdom_14_lady_9|Doreana Alayris
trp_kingdom_14_lady_9_pl|Doreana Alayris
; trp_kingdom_15_lady_1|Galazza of Yunkai
; trp_kingdom_15_lady_1_pl|Galazza of Yunkai
; trp_kingdom_15_lady_2|Serelle Lohar
; trp_kingdom_15_lady_2_pl|Serelle Lohar
; trp_kingdom_15_lady_3|Lyria Lohar
; trp_kingdom_15_lady_3_pl|Lyria Lohar
; trp_kingdom_15_lady_4|Melessa of Yunkai
; trp_kingdom_15_lady_4_pl|Melessa of Yunkai
trp_kingdom_15_lady_5|Sera Pasnak
trp_kingdom_15_lady_5_pl|Sera Pasnak
trp_kingdom_15_lady_6|Saleria Pasnak
trp_kingdom_15_lady_6_pl|Saleria Pasnak
trp_kingdom_15_lady_7|Rhylla Pasnak
trp_kingdom_15_lady_7_pl|Rhylla Pasnak
; trp_kingdom_15_lady_8|Naerys Pasnak
; trp_kingdom_15_lady_8_pl|Naerys Pasnak
; trp_kingdom_15_lady_10|Jyanna Olasos
; trp_kingdom_15_lady_10_pl|Jyanna Olasos
trp_kingdom_15_lady_11|Ylleria Isalios
trp_kingdom_15_lady_11_pl|Ylleria Isalios
; trp_kingdom_15_lady_12|Shiera Isalios
; trp_kingdom_15_lady_12_pl|Shiera Isalios
; trp_kingdom_15_lady_13|Tyronna Isalios
; trp_kingdom_15_lady_13_pl|Tyronna Isalios
; trp_kingdom_16_lady_1|Daenys of Pentos
; trp_kingdom_16_lady_1_pl|Daenys of Pentos
; trp_kingdom_16_lady_2|Healena Vhassar
; trp_kingdom_16_lady_2_pl|Healena Vhassar
; trp_kingdom_16_lady_3|Saria Vhassar
; trp_kingdom_16_lady_3_pl|Saria Vhassar
; trp_kingdom_16_lady_4|Talisa of Lys
; trp_kingdom_16_lady_4_pl|Talisa of Lys
; trp_kingdom_16_lady_5|Trianna Paenymion
; trp_kingdom_16_lady_5_pl|Trianna Paenymion
; trp_kingdom_16_lady_6|Vorenna Paenymion
; trp_kingdom_16_lady_6_pl|Vorenna Paenymion
trp_kingdom_16_lady_7|Alya Melane
trp_kingdom_16_lady_7_pl|Alya Melane
; trp_kingdom_16_lady_8|Melessa Melane
; trp_kingdom_16_lady_8_pl|Melessa Melane
trp_kingdom_16_lady_9|Trianna Melane
trp_kingdom_16_lady_9_pl|Trianna Melane
; trp_kingdom_17_lady_1|Xarina of Qarth
; trp_kingdom_17_lady_1_pl|Xarina of Qarth
; trp_kingdom_17_lady_2|Valaena Tavellen
; trp_kingdom_17_lady_2_pl|Valaena Tavellen
trp_kingdom_17_lady_3|Rayma Melas
trp_kingdom_17_lady_3_pl|Rayma Melas
; trp_kingdom_17_lady_4|Tyanna Melas
; trp_kingdom_17_lady_4_pl|Tyanna Melas
trp_kingdom_17_lady_5|Belia Melas
trp_kingdom_17_lady_5_pl|Belia Melas
; trp_kingdom_17_lady_6|Trianna Melas
; trp_kingdom_17_lady_6_pl|Trianna Melas
; trp_kingdom_17_lady_7|Betharios Melas
; trp_kingdom_17_lady_7_pl|Betharios Melas
; trp_kingdom_17_lady_8|Bellegere Melas
; trp_kingdom_17_lady_8_pl|Bellegere Melas
trp_kingdom_17_lady_9|Mellario Melas
trp_kingdom_17_lady_9_pl|Mellario Melas
; trp_kingdom_17_lady_10|Pannya Melas
; trp_kingdom_17_lady_10_pl|Pannya Melas
trp_kingdom_17_lady_11|Haeria Melas
trp_kingdom_17_lady_11_pl|Haeria Melas
; trp_kingdom_17_lady_12|Naenys Melas
; trp_kingdom_17_lady_12_pl|Naenys Melas
; trp_kingdom_17_lady_13|Jaena of Lys
; trp_kingdom_17_lady_13_pl|Jaena of Lys
; trp_kingdom_18_lady_1|Mellario of Myr
; trp_kingdom_18_lady_1_pl|Mellario of Myr
; trp_kingdom_18_lady_2|Doreah Terys
; trp_kingdom_18_lady_2_pl|Doreah Terys
trp_kingdom_19_lady_1|Iseult Sunderland
trp_kingdom_19_lady_1_pl|Iseult Sunderland
trp_kingdom_19_lady_2|Gisella Borrell
trp_kingdom_19_lady_2_pl|Gisella Borrell
trp_kingdom_19_lady_3|Nora Borrell
trp_kingdom_19_lady_3_pl|Nora Borrell
trp_kingdom_19_lady_4|Aethelwyn Borrell
trp_kingdom_19_lady_4_pl|Aethelwyn Borrell
trp_kingdom_19_lady_5|Ianni Borrell
trp_kingdom_19_lady_5_pl|Ianni Borrell
trp_kingdom_19_lady_6|Adelaide Torrent
trp_kingdom_19_lady_6_pl|Adelaide Torrent
trp_kingdom_21_lady_1|Dalla
trp_kingdom_21_lady_1_pl|Dalla
trp_kingdom_21_lady_2|Val
trp_kingdom_21_lady_2_pl|Val
trp_kingdom_21_lady_3|Munda
trp_kingdom_21_lady_3_pl|Munda
trp_kingdom_21_lady_4|Gerra
trp_kingdom_21_lady_4_pl|Gerra
trp_kingdom_21_lady_5|Rayma
trp_kingdom_21_lady_5_pl|Rayma
trp_kingdom_21_lady_6|Willow
trp_kingdom_21_lady_6_pl|Willow
trp_kingdom_21_lady_7|Rowan
trp_kingdom_21_lady_7_pl|Rowan
trp_kingdom_21_lady_8|Hilda
trp_kingdom_21_lady_8_pl|Hilda
trp_kingdom_6_lady_28|Elia Sand
trp_kingdom_6_lady_28_pl|Elia Sand
trp_kingdom_6_lady_31|Valena Toland
trp_kingdom_6_lady_31_pl|Valena Toland
trp_kingdom_6_lady_32|Teora Toland
trp_kingdom_6_lady_32_pl|Teora Toland
trp_kingdom_2_lady_35|Dacey Mormont
trp_kingdom_2_lady_35_pl|Dacey Mormont
trp_kingdom_2_lady_36|Alysane Mormont
trp_kingdom_2_lady_36_pl|Alysane Mormont
trp_swadian_n_hero1|Sergent Swadien exceptionnel
trp_swadian_n_hero1_pl|Sergents Swadiens exceptionnels
trp_swadian_n_hero2|Tireur d'élite Swadien exceptionnel
trp_swadian_n_hero2_pl|Tireurs d'élite Swadiens exceptionnels
trp_vaegir_n_hero1|Chevalier Vaegir exceptionnel
trp_vaegir_n_hero1_pl|Chevaliers Vaegirs exceptionnels
trp_vaegir_n_hero2|Garde Vaegir exceptionnel
trp_vaegir_n_hero2_pl|Gardes Vaegirs exceptionnels
trp_khergit_n_hero1|Archer monté Khergit vétéran exceptionnel
trp_khergit_n_hero1_pl|Archers montés Khergits vétérans exceptionnels
trp_nord_n_hero1|Huscarl Nordique exceptionnel
trp_nord_n_hero1_pl|Huscarls Nordiques exceptionnels
trp_rhodok_n_hero1|Sergent Rhodok exceptionnel
trp_rhodok_n_hero1_pl|Sergents Rhodoks exceptionnels
trp_rhodok_n_hero2|Tireur d'élite Rhodok exceptionnel
trp_rhodok_n_hero2_pl|Tireurs d'élite Rhodoks exceptionnels
trp_sarranid_n_hero1|Mamelouk Sarranide exceptionnel
trp_sarranid_n_hero1_pl|Mamelouks Sarranides exceptionnels
trp_sarranid_n_hero2|Maître-archer Sarranide exceptionnel
trp_sarranid_n_hero2_pl|Maîtres-archers Sarranides exceptionnels
trp_swadian_r_hero1|Jock Swadien exceptionnel
trp_swadian_r_hero1_pl|Jocks Swadiens exceptionnels
trp_swadian_r_hero2|Archer Swadien exceptionnel
trp_swadian_r_hero2_pl|Archers Swadiens exceptionnels
trp_vaegir_r_hero1|Ataman Vaegir exceptionnel
trp_vaegir_r_hero1_pl|Atamany Vaegirs exceptionnels
trp_vaegir_r_hero2|Druzhinnik Vaegir vétéran exceptionnel
trp_vaegir_r_hero2_pl|Druzhinniki Vaegirs vétérans exceptionnels
trp_khergit_r_hero1|Khevtuul Khergit exceptionnel
trp_khergit_r_hero1_pl|Khevtuulcuud Khergits exceptionnels
trp_khergit_r_hero2|Borjigin Khergit exceptionnel
trp_khergit_r_hero2_pl|Borjiginuud Khergits exceptionnels
trp_nord_r_hero1|Heahgerefa Nordique exceptionnel
trp_nord_r_hero1_pl|Heahgerefar Nordiques exceptionnels
trp_nord_r_hero2|Kappi Nordique exceptionnel
trp_nord_r_hero2_pl|Kappir Nordiques exceptionnels
trp_rhodok_r_hero1|Arbalétrier Rhodok vétéran exceptionnel
trp_rhodok_r_hero1_pl|Arbalétriers Rhodoks vétérans exceptionnels
trp_rhodok_r_hero2|Piquier Rhodok vétéran exceptionnel
trp_rhodok_r_hero2_pl|Piquiers Rhodoks vétérans exceptionnels
trp_sarranid_r_hero1|Kapikula Sarranide exceptionnel
trp_sarranid_r_hero1_pl|Kapikulani Sarranides exceptionnels
trp_sarranid_r_hero2|Uluteci Sarranide exceptionnel
trp_sarranid_r_hero2_pl|Uluteciler Sarranides exceptionnels
trp_swadian_e_hero1|Highlander Swadien exceptionnel
trp_swadian_e_hero1_pl|Highlanders Swadiens exceptionnels
trp_swadian_e_hero2|Lancier monté Swadien exceptionnel
trp_swadian_e_hero2_pl|Lanciers montés Swadiens exceptionnels
trp_vaegir_e_hero1|Legkoy Vaegir vétéran exceptionnel
trp_vaegir_e_hero1_pl|Legkoi Vaegirs vétérans exceptionnels
trp_vaegir_e_hero2|Voevoda Vaegir exceptionnel
trp_vaegir_e_hero2_pl|Voevody Vaegirs exceptionnels
trp_vaegir_e_hero3|Druzhinnik Vaegir d'élite exceptionnel
trp_vaegir_e_hero3_pl|Druzhinniki Vaegirs d'élite exceptionnels
trp_khergit_e_hero1|Keshig Khergit exceptionnel
trp_khergit_e_hero1_pl|Keshignuud Khergits exceptionnels
trp_khergit_e_hero2|Kharvaach Khergit exceptionnel
trp_khergit_e_hero2_pl|Kharvaachuud Khergits exceptionnels
trp_khergit_e_hero3|Jurtchi Khergit exceptionnel
trp_khergit_e_hero3_pl|Jurtchinuud Khergits exceptionnels
trp_nord_e_hero1|Ealdorman Nordique exceptionnel
trp_nord_e_hero1_pl|Ealdormen Nordiques exceptionnels
trp_nord_e_hero2|Himthige Nordique exceptionnel
trp_nord_e_hero2_pl|Himthiger Nordiques exceptionnels
trp_nord_e_hero3|Hetja Nordique exceptionnel
trp_nord_e_hero3_pl|Hetjar Nordiques exceptionnels
trp_rhodok_e_hero1|Arbalétrier paysan Rhodok exceptionnel
trp_rhodok_e_hero1_pl|Arbalétriers paysans Rhodoks exceptionnels
trp_rhodok_e_hero2|Soldat de fortune Rhodok exceptionnel
trp_rhodok_e_hero2_pl|Soldats de fortune Rhodoks exceptionnels
trp_rhodok_e_hero3|Garde ducal Rhodok exceptionnel
trp_rhodok_e_hero3_pl|Gardes ducaux Rhodoks exceptionnels
trp_sarranid_e_hero1|Arslan Sarranide exceptionnel
trp_sarranid_e_hero1_pl|Arslani Sarranides exceptionnels
trp_sarranid_e_hero2|Sekban Sarranide exceptionnel
trp_sarranid_e_hero2_pl|Sekbanlar Sarranides exceptionnels
trp_sarranid_e_hero3|Silahtar Sarranide exceptionnel
trp_sarranid_e_hero3_pl|Silahtarin Sarranides exceptionnels
trp_town_1_arena_master|Maître du tournoi
trp_town_3_arena_master|Maître du tournoi
trp_town_6_arena_master|Maîtres du tournoi
trp_town_8_arena_master|Maîtres du tournoi
trp_town_9_arena_master|Maître du tournoi
trp_town_12_arena_master|Maîtres du tournoi
trp_town_16_arena_master|Maîtres du tournoi
trp_town_17_arena_master|Maître du tournoi
trp_town_18_arena_master|Maîtres du tournoi
trp_town_19_arena_master|Maître du tournoi
trp_town_20_arena_master|Maîtres du tournoi
trp_town_23_arena_master|Maître du tournoi
trp_town_24_arena_master|Maîtres du tournoi
trp_town_25_arena_master|Maître du tournoi
trp_town_26_arena_master|Maîtres du tournoi
trp_town_27_arena_master|Maître du tournoi
trp_town_30_arena_master|Maîtres du tournoi
trp_town_31_arena_master|Maître du tournoi
trp_town_32_arena_master|Maîtres du tournoi
trp_town_33_arena_master|Maître du tournoi
trp_town_34_arena_master|Maîtres du tournoi
trp_town_35_arena_master|Maître du tournoi
trp_town_36_arena_master|Maîtres du tournoi
trp_town_38_arena_master|Maîtres du tournoi
trp_town_40_arena_master|Maîtres du tournoi
trp_town_41_arena_master|Maître du tournoi
trp_town_42_arena_master|Maîtres du tournoi
trp_town_44_arena_master|Maîtres du tournoi
trp_town_45_arena_master|Maître du tournoi
trp_town_46_arena_master|Maîtres du tournoi
trp_town_47_arena_master|Maître du tournoi
trp_town_48_arena_master|Maîtres du tournoi
trp_town_49_arena_master|Maître du tournoi
trp_town_50_arena_master|Maîtres du tournoi
trp_town_51_arena_master|Maître du tournoi
trp_town_52_arena_master|Maîtres du tournoi
; trp_town_53_arena_master|Tournament Master
; trp_town_54_arena_master|Tournament Master
trp_town_1_crook|Ville 1 Escroc
trp_town_1_crook_pl|Ville 1 Escrocs
trp_town_3_crook|Ville 3 Escroc
trp_town_3_crook_pl|Ville 3 Escrocs
trp_town_6_crook|Ville 6 Escroc
trp_town_6_crook_pl|Ville 6 Escrocs
trp_town_8_crook|Ville 8 Escroc
trp_town_8_crook_pl|Ville 8 Escrocs
trp_town_9_crook|Ville 9 Escroc
trp_town_9_crook_pl|Ville 9 Escrocs
trp_town_12_crook|Ville 12 Escroc
trp_town_12_crook_pl|Ville 12 Escrocs
trp_town_16_crook|Ville 16 Escroc
trp_town_16_crook_pl|Ville 16 Escrocs
trp_town_17_crook|Ville 17 Escroc
trp_town_17_crook_pl|Ville 17 Escrocs
trp_town_18_crook|Ville 18 Escroc
trp_town_18_crook_pl|Ville 18 Escrocs
trp_town_19_crook|Ville 19 Escroc
trp_town_19_crook_pl|Ville 19 Escrocs
trp_town_20_crook|Ville 20 Escroc
trp_town_20_crook_pl|Ville 20 Escrocs
trp_town_23_crook|Ville 1 Escroc
trp_town_23_crook_pl|Ville 1 Escrocs
trp_town_24_crook|Ville 2 Escroc
trp_town_24_crook_pl|Ville 2 Escrocs
trp_town_25_crook|Ville 3 Escroc
trp_town_25_crook_pl|Ville 3 Escrocs
trp_town_26_crook|Ville 4 Escroc
trp_town_26_crook_pl|Ville 4 Escrocs
trp_town_27_crook|Ville 5 Escroc
trp_town_27_crook_pl|Ville 5 Escrocs
trp_town_30_crook|Ville 8 Escroc
trp_town_30_crook_pl|Ville 8 Escrocs
trp_town_31_crook|Ville 9 Escroc
trp_town_31_crook_pl|Ville 9 Escrocs
trp_town_32_crook|Ville 10 Escroc
trp_town_32_crook_pl|Ville 10 Escrocs
trp_town_33_crook|Ville 11 Escroc
trp_town_33_crook_pl|Ville 11 Escrocs
trp_town_34_crook|Ville 12 Escroc
trp_town_34_crook_pl|Ville 12 Escrocs
trp_town_35_crook|Ville 13 Escroc
trp_town_35_crook_pl|Ville 13 Escrocs
trp_town_36_crook|Ville 14 Escroc
trp_town_36_crook_pl|Ville 14 Escrocs
trp_town_38_crook|Ville 16 Escroc
trp_town_38_crook_pl|Ville 16 Escrocs
trp_town_40_crook|Ville 18 Escroc
trp_town_40_crook_pl|Ville 18 Escrocs
trp_town_41_crook|Ville 19 Escroc
trp_town_41_crook_pl|Ville 19 Escrocs
trp_town_42_crook|Ville 20 Escroc
trp_town_42_crook_pl|Ville 20 Escrocs
trp_town_44_crook|Ville 22 Escroc
trp_town_44_crook_pl|Ville 22 Escrocs
trp_town_45_crook|Ville 21 Escroc
trp_town_45_crook_pl|Ville 21 Escrocs
trp_town_46_crook|Ville 22 Escroc
trp_town_46_crook_pl|Ville 22 Escrocs
trp_town_47_crook|Ville 22 Escroc
trp_town_47_crook_pl|Ville 22 Escrocs
trp_town_48_crook|Ville 22 Escroc
trp_town_48_crook_pl|Ville 22 Escrocs
trp_town_49_crook|Ville 22 Escroc
trp_town_49_crook_pl|Ville 22 Escrocs
trp_town_50_crook|Ville 22 Escroc
trp_town_50_crook_pl|Ville 22 Escrocs
trp_town_51_crook|Ville 22 Escroc
trp_town_51_crook_pl|Ville 22 Escrocs
trp_town_52_crook|Ville 22 Escroc
trp_town_52_crook_pl|Ville 22 Escrocs
; trp_town_53_crook|Town 22 Crook
; trp_town_53_crook_pl|Town 22 Crook
; trp_town_54_crook|Town 22 Crook
; trp_town_54_crook_pl|Town 22 Crook
trp_town_1_armorer|Armurier
trp_town_3_armorer|Armurier
trp_town_6_armorer|Armurier
trp_town_8_armorer|Armurier
trp_town_9_armorer|Armurier
trp_town_12_armorer|Armurier
trp_town_16_armorer|Armurier
trp_town_17_armorer|Armurier
trp_town_18_armorer|Armurier
trp_town_19_armorer|Armurier
trp_town_20_armorer|Armurier
trp_town_23_armorer|Armurier
trp_town_24_armorer|Armurier
trp_town_25_armorer|Armurier
trp_town_26_armorer|Armurier
trp_town_27_armorer|Armurier
trp_town_30_armorer|Armurier
trp_town_31_armorer|Armurier
trp_town_32_armorer|Armurier
trp_town_33_armorer|Armurier
trp_town_34_armorer|Armurier
trp_town_35_armorer|Armurier
trp_town_36_armorer|Armurier
trp_town_38_armorer|Armurier
trp_town_40_armorer|Armurier
trp_town_41_armorer|Armurier
trp_town_42_armorer|Armurier
trp_town_44_armorer|Armurier
trp_town_45_armorer|Armurier
trp_town_46_armorer|Armurier
trp_town_47_armorer|Armurier
trp_town_48_armorer|Armurier
trp_town_49_armorer|Armurier
trp_town_50_armorer|Armurier
trp_town_51_armorer|Armurier
trp_town_52_armorer|Armurier
; trp_town_53_armorer|Armorer
; trp_town_54_armorer|Armorer
trp_town_1_weaponsmith|Forgeron
trp_town_3_weaponsmith|Forgeron
trp_town_6_weaponsmith|Forgeron
trp_town_8_weaponsmith|Forgeron
trp_town_9_weaponsmith|Forgeron
trp_town_12_weaponsmith|Forgeron
trp_town_16_weaponsmith|Forgeron
trp_town_17_weaponsmith|Forgeron
trp_town_18_weaponsmith|Forgeron
trp_town_19_weaponsmith|Forgeron
trp_town_20_weaponsmith|Forgeron
trp_town_23_weaponsmith|Forgeron
trp_town_24_weaponsmith|Forgeron
trp_town_25_weaponsmith|Forgeron
trp_town_26_weaponsmith|Forgeron
trp_town_27_weaponsmith|Forgeron
trp_town_30_weaponsmith|Forgeron
trp_town_31_weaponsmith|Forgeron
trp_town_32_weaponsmith|Forgeron
trp_town_33_weaponsmith|Forgeron
trp_town_34_weaponsmith|Forgeron
trp_town_35_weaponsmith|Forgeron
trp_town_36_weaponsmith|Forgeron
trp_town_38_weaponsmith|Forgeron
trp_town_40_weaponsmith|Forgeron
trp_town_41_weaponsmith|Forgeron
trp_town_42_weaponsmith|Forgeron
trp_town_44_weaponsmith|Forgeron
trp_town_45_weaponsmith|Forgeron
trp_town_46_weaponsmith|Forgeron
trp_town_47_weaponsmith|Forgeron
trp_town_48_weaponsmith|Forgeron
trp_town_49_weaponsmith|Forgeron
trp_town_50_weaponsmith|Forgeron
trp_town_51_weaponsmith|Forgeron
trp_town_52_weaponsmith|Forgeron
; trp_town_53_weaponsmith|Weaponsmith
; trp_town_54_weaponsmith|Weaponsmith
trp_town_1_tavernkeeper|Joffrey
trp_town_3_tavernkeeper|Rose la Bonne
trp_town_6_tavernkeeper|Alleria la Lionne
trp_town_8_tavernkeeper|Bert le Sauvage
trp_town_9_tavernkeeper|Lea
trp_town_12_tavernkeeper|Andalio Otherys
trp_town_16_tavernkeeper|Duncan le Moyen
trp_town_17_tavernkeeper|Onera
trp_town_18_tavernkeeper|Jon
trp_town_19_tavernkeeper|Mayria
trp_town_20_tavernkeeper|Olyvar Sand
trp_town_23_tavernkeeper|Ser Halbert Hill
trp_town_24_tavernkeeper|Rowan
trp_town_25_tavernkeeper|Naerys le Pompeux
trp_town_26_tavernkeeper|Florian l’Étrange 
trp_town_27_tavernkeeper|Brynden
trp_town_30_tavernkeeper|Selmond
trp_town_31_tavernkeeper|Mandon Snow
trp_town_32_tavernkeeper|Emma
trp_town_33_tavernkeeper|Amy
trp_town_34_tavernkeeper|Baelor le Phoque
trp_town_35_tavernkeeper|Mia la Mère
trp_town_36_tavernkeeper|L'Aubergiste Noir
trp_town_38_tavernkeeper|Squek
trp_town_40_tavernkeeper|Melan de Lys
trp_town_41_tavernkeeper|Taena de Saria
trp_town_42_tavernkeeper|Hubert
trp_town_44_tavernkeeper|Illyrio l'Imposteur
trp_town_45_tavernkeeper|Alana de Myr
trp_town_46_tavernkeeper|Alequo le Second
trp_town_47_tavernkeeper|Maelo l'Ours
trp_town_48_tavernkeeper|Maegon Œil-Blanc
trp_town_49_tavernkeeper|Elmer Snow
trp_town_50_tavernkeeper|Graznon le Ghiscari
trp_town_51_tavernkeeper|Alain
trp_town_52_tavernkeeper|Aelgor le Violet
; trp_town_53_tavernkeeper|Aelgor the Purple
; trp_town_54_tavernkeeper|Aelgor the Purple
trp_town_1_merchant|Marchand
trp_town_3_merchant|Marchand
trp_town_6_merchant|Marchand
trp_town_8_merchant|Marchand
trp_town_9_merchant|Marchand
trp_town_12_merchant|Marchand
trp_town_16_merchant|Marchand
trp_town_17_merchant|Marchand
trp_town_18_merchant|Marchand
trp_town_19_merchant|Marchand
trp_town_20_merchant|Marchand
trp_salt_mine_merchant|Barezan
trp_salt_mine_merchant_pl|Barezan
trp_town_23_merchant|Marchand
trp_town_24_merchant|Marchand
trp_town_25_merchant|Marchand
trp_town_26_merchant|Marchand
trp_town_27_merchant|Marchand
trp_town_30_merchant|Marchand
trp_town_31_merchant|Marchand
trp_town_32_merchant|Marchand
trp_town_33_merchant|Marchand
trp_town_34_merchant|Marchand
trp_town_35_merchant|Marchand
trp_town_36_merchant|Marchand
trp_town_38_merchant|Marchand
trp_town_40_merchant|Marchand
trp_town_41_merchant|Marchand
trp_town_42_merchant|Marchand
trp_town_44_merchant|Marchand
trp_town_45_merchant|Marchand
trp_town_46_merchant|Marchand
trp_town_47_merchant|Marchand
trp_town_48_merchant|Marchand
trp_town_49_merchant|Marchand
trp_town_50_merchant|Marchand
trp_town_51_merchant|Marchand
trp_town_52_merchant|Marchand
; trp_town_53_merchant|Merchant
; trp_town_54_merchant|Merchant
trp_town_1_horse_merchant|Maquignon
trp_town_3_horse_merchant|Maquignon
trp_town_6_horse_merchant|Maquignon
trp_town_8_horse_merchant|Maquignon
trp_town_9_horse_merchant|Maquignon
trp_town_12_horse_merchant|Maquignon
trp_town_16_horse_merchant|Maquignon
trp_town_17_horse_merchant|Maquignon
trp_town_18_horse_merchant|Maquignon
trp_town_19_horse_merchant|Maquignon
trp_town_20_horse_merchant|Maquignon
trp_town_23_horse_merchant|Maquignon
trp_town_24_horse_merchant|Maquignon
trp_town_25_horse_merchant|Maquignon
trp_town_26_horse_merchant|Maquignon
trp_town_27_horse_merchant|Maquignon
trp_town_30_horse_merchant|Maquignon
trp_town_31_horse_merchant|Maquignon
trp_town_32_horse_merchant|Maquignon
trp_town_33_horse_merchant|Maquignon
trp_town_34_horse_merchant|Maquignon
trp_town_35_horse_merchant|Maquignon
trp_town_36_horse_merchant|Maquignon
trp_town_38_horse_merchant|Maquignon
trp_town_40_horse_merchant|Maquignon
trp_town_41_horse_merchant|Maquignon
trp_town_42_horse_merchant|Maquignon
trp_town_44_horse_merchant|Maquignon
trp_town_45_horse_merchant|Maquignon
trp_town_46_horse_merchant|Maquignon
trp_town_47_horse_merchant|Maquignon
trp_town_48_horse_merchant|Maquignon
trp_town_49_horse_merchant|Maquignon
trp_town_50_horse_merchant|Maquignon
trp_town_51_horse_merchant|Maquignon
trp_town_52_horse_merchant|Maquignon
; trp_town_53_horse_merchant|Horse Merchant
; trp_town_54_horse_merchant|Horse Merchant
; trp_town_1_mayor|Guild Master Edric
trp_town_3_mayor|Maître de guilde Jon Rivers
; trp_town_6_mayor|Guild Master Albar
trp_town_8_mayor|Maître de guilde Robert Elesham
; trp_town_9_mayor|Guild Master Edric
trp_town_12_mayor|Maître de guilde Ilarion
; trp_town_16_mayor|Guild Master Roger of Langward
trp_town_17_mayor|Maître de guilde Torho
; trp_town_18_mayor|Guild Master Salloreon Calla
trp_town_19_mayor|Maître de guilde Rickard Chambers
trp_town_20_mayor|Maître de guilde Mors de Boisleau
; trp_town_23_mayor|Guild Master Jonos Waters
trp_town_24_mayor|Maître de guilde Emmon Hill
trp_town_25_mayor|Maître de guilde Eldon Peppers
; trp_town_26_mayor|Guild Master Ralph Rivers
trp_town_27_mayor|Maître de guilde Terrence Hill
; trp_town_30_mayor|Guild Master Anders of Dorne
trp_town_31_mayor|Maître de guilde Halbert Snow
trp_town_32_mayor|Maître de guilde Elbert Flowers
; trp_town_33_mayor|Guild Master Rodrik of the Kingswood
trp_town_34_mayor|Maître de guilde Dagon Pyke
trp_town_35_mayor|Maître de guilde Jaspar Stone
trp_town_36_mayor|Maître de guilde Elro
trp_town_38_mayor|Maître de guilde Fryan
trp_town_40_mayor|Maître de guilde Elmo
; trp_town_41_mayor|Guild Master Robert
; trp_town_42_mayor|Guild Master Podrick
; trp_town_44_mayor|Guild Master Mago of Morosh
; trp_town_45_mayor|Guild Master Baelaros
trp_town_46_mayor|Maître de guilde Toho
trp_town_47_mayor|Maître de guilde Voa l’Élégant 
trp_town_48_mayor|Maître de guilde Maegin l'Exilé 
trp_town_49_mayor|Maître de guilde Hubert l'Ouestrien
; trp_town_50_mayor|Guild Master Kermit the Westerosi
trp_town_51_mayor|Maître de guilde Ono le Lhazaréen
trp_town_52_mayor|Maître de guilde Peayt le Qarthien
; trp_town_53_mayor|Guild Master Pryat
; trp_town_54_mayor|Guild Master Ellar
trp_village_1_elder|Ancien du village
trp_village_2_elder|Ancien du village
trp_village_3_elder|Ancien du village
trp_village_4_elder|Ancien du village
trp_village_5_elder|Ancien du village
trp_village_6_elder|Ancien du village
trp_village_7_elder|Ancien du village
trp_village_8_elder|Ancien du village
trp_village_9_elder|Ancien du village
trp_village_10_elder|Ancien du village
trp_village_11_elder|Ancien du village
trp_village_12_elder|Ancien du village
trp_village_13_elder|Ancien du village
trp_village_14_elder|Ancien du village
trp_village_15_elder|Ancien du village
trp_village_16_elder|Ancien du village
trp_village_17_elder|Ancien du village
trp_village_18_elder|Ancien du village
trp_village_19_elder|Ancien du village
trp_village_20_elder|Ancien du village
trp_village_21_elder|Ancien du village
trp_village_22_elder|Ancien du village
trp_village_23_elder|Ancien du village
trp_village_24_elder|Ancien du village
trp_village_25_elder|Ancien du village
trp_village_26_elder|Ancien du village
trp_village_27_elder|Ancien du village
trp_village_28_elder|Ancien du village
trp_village_29_elder|Ancien du village
trp_village_30_elder|Ancien du village
trp_village_31_elder|Ancien du village
trp_village_32_elder|Ancien du village
trp_village_33_elder|Ancien du village
trp_village_34_elder|Ancien du village
trp_village_35_elder|Ancien du village
trp_village_36_elder|Ancien du village
trp_village_37_elder|Ancien du village
trp_village_38_elder|Ancien du village
trp_village_39_elder|Ancien du village
